phase,date,d_prev,ticker,split,is_holdout,market_cap,eligible_300,raw_score_m3,raw_m3_rank,score_m3_dedup,rank_dedup,in_top20_dedup,score_m3_tilt,rank_tilt,in_top20_tilt,in_top20_baseline,ret_62,ret10_d_prev,forward_logret
2,2022-12-01,2022-11-30,SMWB,TRAIN,0,237418413.96,0,-2.3083778337964214,1368.0,,,0,,,0,0,-0.38041435847771166,-0.2599575244369259,0.16855536102980667
2,2022-12-15,2022-12-14,SMWB,TRAIN,0,237418413.96,0,-1.116782142984813,1242.0,,,0,,,0,0,-0.18204649146420487,0.16855536102980662,-0.09696170784279774
2,2022-12-30,2022-12-29,SMWB,TRAIN,0,237418413.96,0,-0.879557022881823,1191.0,,,0,,,0,0,-0.0634015113504958,-0.09696170784279746,0.06680866967211031
2,2023-01-17,2023-01-13,SMWB,SW1,1,237418413.96,0,-1.5479026300318441,1324.0,,,0,,,0,0,-0.035091319811270325,0.06680866967211,0.1260630980169969
2,2023-01-31,2023-01-30,SMWB,SW1,1,237418413.96,0,-0.5019698849489553,1156.0,,,0,,,0,0,0.06184350528270295,0.126063098016997,-0.010550210895152486
2,2023-02-14,2023-02-13,SMWB,SW1,1,237418413.96,0,-0.4676960594892361,1176.0,,,0,,,0,0,0.06090875308699253,-0.010550210895152217,-0.003034903695153936
2,2023-03-01,2023-02-28,SMWB,SW1,1,237418413.96,0,1.5694104292547675,219.0,,,0,,,0,0,0.2846471687566272,-0.0030349036951536207,-0.06433590741992944
2,2023-03-15,2023-03-14,SMWB,SW1,1,237418413.96,0,0.5932250216212364,709.0,,,0,,,0,0,0.08981477240732916,-0.06433590741992937,0.05056369279870232
2,2023-03-29,2023-03-28,SMWB,SW1,1,237418413.96,0,1.4921912140040836,214.0,,,0,,,0,0,0.2789885889095696,0.05056369279870238,-0.18016671526444378
2,2023-04-13,2023-04-12,SMWB,SW1,1,237418413.96,0,-0.3038580311830793,1104.0,,,0,,,0,0,-0.14248564829675497,-0.18016671526444383,0.057363394879920294
2,2023-04-27,2023-04-26,SMWB,SW1,1,237418413.96,0,0.00040983865696889166,1010.0,,,0,,,0,0,-0.15911593332516127,0.05736339487992016,-0.05736339487992031
2,2023-05-11,2023-05-10,SMWB,SW1,1,237418413.96,0,-0.36822430489437274,1119.0,,,0,,,0,0,-0.22388128650074945,-0.057363394879920176,0.1214662810726799
2,2023-05-25,2023-05-24,SMWB,SW1,1,237418413.96,0,0.20481095620666206,926.0,,,0,,,0,0,-0.06790295312292587,0.1214662810726801,0.09798040836020382
2,2023-06-09,2023-06-08,SMWB,SW1,1,237418413.96,0,1.097922416281353,456.0,,,0,,,0,0,0.1867759071433348,0.09798040836020372,-0.06424226872835359
2,2023-06-26,2023-06-23,SMWB,SW1,1,237418413.96,0,-0.15864730514177783,1108.0,,,0,,,0,0,-0.031106707132255038,-0.06424226872835337,0.028039220064392908
2,2023-07-11,2023-07-10,SMWB,SW1,1,237418413.96,0,0.8532031380032702,550.0,,,0,,,0,0,0.14700779231487823,0.028039220064393244,0.08252102368800365
2,2023-07-25,2023-07-24,SMWB,SW1,1,237418413.96,0,0.7458915186256194,621.0,,,0,,,0,0,0.16576906778112357,0.08252102368800358,-0.009950330853168092
2,2023-08-08,2023-08-07,SMWB,SW1,1,237418413.96,0,0.9741553507642562,538.0,,,0,,,0,0,0.20719990091707371,-0.00995033085316812,-0.09274205169861487
2,2023-08-22,2023-08-21,SMWB,SW1,1,237418413.96,0,0.6575334771299263,758.0,,,0,,,0,0,0.0935875264928787,-0.09274205169861481,0.033901551675681416
2,2023-09-06,2023-09-05,SMWB,SW1,1,237418413.96,0,-0.050697261463886104,1084.0,,,0,,,0,0,-0.058840500022933465,0.033901551675681416,-0.21371841085462664
2,2023-09-20,2023-09-19,SMWB,SW1,1,237418413.96,0,-0.8530268034685887,1280.0,,,0,,,0,0,-0.22276824637454476,-0.21371841085462653,0.1719489979783316
2,2023-10-04,2023-10-03,SMWB,SW1,1,237418413.96,0,0.7101290021618478,795.0,,,0,,,0,0,0.02560139823878823,0.17194899797833202,-0.08916794457118093
2,2023-10-18,2023-10-17,SMWB,SW1,1,237418413.96,0,-0.21954850749290386,1108.0,,,0,,,0,0,-0.18404718276142434,-0.08916794457118082,-0.13476580828552978
2,2023-11-01,2023-10-31,SMWB,SW1,1,237418413.96,0,-0.7977970449621471,1237.0,,,0,,,0,0,-0.3499328997607587,-0.13476580828552975,-0.005946499187726191
2,2023-11-15,2023-11-14,SMWB,SW1,1,237418413.96,0,-0.5499984494471024,1214.0,,,0,,,0,0,-0.20589828735795157,-0.005946499187726301,0.013820555618632095
2,2023-11-30,2023-11-29,SMWB,SW1,1,237418413.96,0,-1.0379476708131203,1343.0,,,0,,,0,0,-0.29354719190417916,0.013820555618632241,-0.001962709167848706
2,2023-12-14,2023-12-13,SMWB,SW1,1,237418413.96,0,0.016410287158838036,1089.0,,,0,,,0,0,-0.051686144520279566,-0.001962709167848692,0.02521957133211589
2,2023-12-29,2023-12-28,SMWB,SW1,1,237418413.96,0,-1.234894349878466,1402.0,,,0,,,0,0,-0.21622310846963644,0.025219571332116074,0.04495138786226627
2,2024-01-16,2024-01-12,SMWB,SW1,1,237418413.96,0,0.2173226709607068,1011.0,,,0,,,0,0,0.033522692038643206,0.04495138786226667,0.178958153531526
2,2024-01-30,2024-01-29,SMWB,SW1,1,237418413.96,0,0.8712192618346919,628.0,,,0,,,0,0,0.24912911272590818,0.17895815353152625,0.06664197348594142
2,2024-02-13,2024-02-12,SMWB,SW1,1,237418413.96,0,1.1231153831400975,365.0,,,0,,,0,0,0.29824386050288976,0.06664197348594184,0.1610852374959262
2,2024-02-28,2024-02-27,SMWB,SW1,1,237418413.96,0,2.1161427000623068,92.0,,,0,,,0,0,0.48474591098293923,0.1610852374959262,0.09309042306601203
2,2024-03-13,2024-03-12,SMWB,SW1,1,237418413.96,0,2.9060109226351143,48.0,,,0,,,0,0,0.5958188365993832,0.09309042306601174,-0.008928630744301431
2,2024-03-27,2024-03-26,SMWB,SW1,1,237418413.96,0,2.9315222453785337,52.0,,,0,,,0,0,0.5093319715092073,-0.00892863074430117,-0.06963369175880076
