date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,ml_cash_signal_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,rebalance_cadence,is_rebalance_day,equity_base100
2022-11-22,C4_TRIGGER,748313.0576962023,228660.2976962023,0.0,18,0.060358040709663295,5032.760597925,0.000151984126984127,0,0,149,78,132,1,310,10,0,748.2708932252348
2022-11-23,C4_TRIGGER,741767.3804319238,228695.0504319236,0.0,18,0.060890787585859904,5032.760597925,0.000151984126984127,0,0,149,78,132,1,310,10,0,741.7255847838923
2022-11-25,C4_TRIGGER,742922.3684495091,228729.8084495091,0.0,18,0.06043043244706286,5032.760597925,0.000151984126984127,0,0,149,78,132,1,310,10,0,742.8805077224866
2022-11-28,C4_TRIGGER,733624.0117497615,228764.57174976153,0.0,18,0.06202959454866125,5032.760597925,0.000151984126984127,0,0,149,78,132,1,310,10,0,733.5826749482366
2022-11-29,C4_TRIGGER,730879.9103334838,228799.34033348382,0.0,18,0.05941194905765993,5032.760597925,0.000151984126984127,1,0,149,78,132,1,310,10,0,730.8387281511832
2022-11-30,C4_TRIGGER,741717.0542014791,228834.11420147895,0.0,18,0.06002499167007992,5032.760597925,0.000151984126984127,1,0,149,78,132,0,310,10,0,741.6752613891309
2022-12-01,C4_TRIGGER,743747.0933545501,228868.89335455006,0.0,18,0.06333136683271158,5032.760597925,0.000151984126984127,1,0,149,78,132,0,310,10,0,743.7051861575522
2022-12-02,C4_TRIGGER,751762.0361910004,228903.6777935004,6.4083975,17,0.06631524019568044,5032.762200425001,0.000151984126984127,0,0,149,78,133,1,311,10,0,751.7196773837827
2022-12-05,C4_TRIGGER,743566.9021622612,0.4031347611755768,354795.16902750003,18,0.060022682384349386,5178.696290425002,0.000151984126984127,0,0,149,78,133,1,311,10,1,743.5250051183219
2022-12-06,C4_TRIGGER,738791.2554575542,354849.4954575542,0.0,18,0.060410677130116865,5178.696290425002,0.000151984126984127,1,0,149,78,133,1,311,10,0,738.7496275023536
2022-12-07,C4_TRIGGER,742821.726948332,354903.42694833205,0.0,18,0.061170747100617005,5178.696290425002,0.000151984126984127,1,0,149,78,133,0,311,10,0,742.7798718920587
2022-12-08,C4_TRIGGER,750315.3067358405,354957.3666358405,0.0,18,0.06200961060278679,5178.696290425002,0.000151984126984127,1,0,149,79,133,0,311,10,0,750.273029446086
2022-12-09,C4_TRIGGER,743248.2545213252,355011.3145213252,0.0,18,0.06055021283431585,5178.696290425002,0.000151984126984127,1,0,149,79,133,0,311,10,0,743.206375431916
2022-12-12,C4_TRIGGER,751930.8006060323,355065.2706060322,0.0,18,0.06076037843266594,5178.696290425002,0.000151984126984127,0,0,149,79,133,0,311,10,0,751.8884322896096
2022-12-13,C4_TRIGGER,750112.6548912076,355119.23489120766,0.0,18,0.06107338637906905,5178.696290425002,0.000151984126984127,0,0,149,79,133,0,311,10,0,750.0703890200803
2022-12-14,C4_TRIGGER,756610.0773780979,355173.20737809787,0.0,18,0.06202772260532216,5178.696290425002,0.000151984126984127,0,0,149,79,133,0,311,10,0,756.5674454029999
2022-12-15,C4_TRIGGER,746765.3551553974,355234.2351553974,0.0,18,0.06330325807651165,5178.696290425002,0.00017182539682539683,0,0,149,79,133,0,311,10,0,746.7232778913258
2022-12-16,C4_TRIGGER,751819.927818819,355295.27341881895,0.0,18,0.06577144096653492,5178.696290425002,0.00017182539682539683,1,0,149,79,133,0,311,10,0,751.7775657496378
