date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum
2020-05-20,C3,10297609571.353748,10297609571.353748,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-21,C3,10297630003.11877,10297630003.11877,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-22,C3,10297650434.924332,10297650434.924332,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-26,C3,10297670866.770432,10297670866.770432,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-27,C3,10297691298.65707,10297691298.65707,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-28,C3,10297711730.58425,10297711730.58425,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-29,C3,10297732162.551968,10297732162.551968,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-06-01,C3,10297752594.560226,10297752594.560226,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-06-02,C3,10297777113.018785,10297777113.018785,0.0,0,0.0,2491613.4042125246,2.3809523809523808e-06,1,6,8,14,1,26
2020-06-03,C3,10297801631.535723,10297801631.535723,0.0,0,0.0,2491613.4042125246,2.3809523809523808e-06,1,6,8,14,1,26
2020-06-04,C3,10297826150.111036,10297826150.111036,0.0,0,0.0,2491613.4042125246,2.3809523809523808e-06,1,6,8,14,1,26
2020-06-05,C3,10297854755.183676,10297854755.183676,0.0,0,0.0,2491613.4042125246,2.7777777777777783e-06,1,6,8,14,1,26
2020-06-08,C3,10297883360.335773,10297883360.335773,0.0,0,0.0,2491613.4042125246,2.7777777777777783e-06,1,6,8,14,1,26
2020-06-09,C3,10297911965.56733,10297911965.56733,0.0,0,0.0,2491613.4042125246,2.7777777777777783e-06,1,6,8,14,1,26
2020-06-10,C3,10297944657.351347,10297944657.351347,0.0,0,0.0,2491613.4042125246,3.1746031746031746e-06,1,6,8,14,1,26
2020-06-11,C3,10297977349.239147,10297977349.239147,0.0,0,0.0,2491613.4042125246,3.1746031746031746e-06,1,6,8,14,1,26
2020-06-12,C3,10298010041.230732,10298010041.230732,0.0,0,0.0,2491613.4042125246,3.1746031746031746e-06,1,6,8,14,1,26
2020-06-15,C3,10298046819.83802,10298046819.83802,0.0,0,0.0,2491613.4042125246,3.5714285714285714e-06,1,6,8,14,1,26
2020-06-16,C3,10298083598.576662,10298083598.576662,0.0,0,0.0,2491613.4042125246,3.5714285714285714e-06,1,6,8,14,1,26
2020-06-17,C3,10298120377.446655,10298120377.446655,0.0,0,0.0,2491613.4042125246,3.5714285714285714e-06,1,6,8,14,1,26
