ticker,value_start,value_end,delta_value,delta_pct_of_total,from_date,to_date,window_type
CYRX,7423.650000000001,7357.5,-66.15000000000055,1.0869377684995176,2020-09-03,2020-09-09,dd_gt_10pct
ALT,13.41,12.54,-0.870000000000001,0.014295326660537773,2020-09-03,2020-09-09,dd_gt_10pct
REZI,13.22,12.85,-0.370000000000001,0.006079621683217223,2020-09-03,2020-09-09,dd_gt_10pct
MARA,2.095,1.97,-0.12500000000000022,0.002053926244330141,2020-09-03,2020-09-09,dd_gt_10pct
LINC,6.65,6.85,0.1999999999999993,-0.0032862819909282082,2020-09-03,2020-09-09,dd_gt_10pct
LAD,4430.34,4460.22,29.88000000000011,-0.4909705294446778,2020-09-03,2020-09-09,dd_gt_10pct
NFE,480.25,604.69,124.44000000000005,-2.044724654755539,2020-09-03,2020-09-09,dd_gt_10pct
SOHU,6736.92,6904.32,167.39999999999964,-2.7506180264069138,2020-09-03,2020-09-09,dd_gt_10pct
EXK,7277.849999999999,7493.49,215.64000000000033,-3.543269242618812,2020-09-03,2020-09-09,dd_gt_10pct
APPS,7453.08,7746.63,293.5500000000002,-4.823440392184898,2020-09-03,2020-09-09,dd_gt_10pct
PLUG,7311.150000000001,7678.290000000001,367.1400000000003,-6.032627850746938,2020-09-03,2020-09-09,dd_gt_10pct
CLDX,8027.219999999999,8464.94,437.72000000000116,-7.1923567653455205,2020-09-03,2020-09-09,dd_gt_10pct
CLSK,6987.0,7537.74,550.7399999999998,-9.049434718419034,2020-09-03,2020-09-09,dd_gt_10pct
RUN,8132.849999999999,8783.16,650.3100000000004,-10.68551020760266,2020-09-03,2020-09-09,dd_gt_10pct
CELH,7511.92,8205.08,693.1599999999999,-11.389596124159022,2020-09-03,2020-09-09,dd_gt_10pct
EXK,5786.34,3.41,-5782.93,63.97701092202466,2020-09-23,2020-09-25,dd_gt_10pct
TGB,4971.22,0.99,-4970.2300000000005,54.986046691724546,2020-09-23,2020-09-25,dd_gt_10pct
APPS,10095.03,9387.42,-707.6100000000006,7.828345267629714,2020-09-23,2020-09-25,dd_gt_10pct
PLUG,7643.474999999999,7374.45,-269.02499999999964,2.97624480381012,2020-09-23,2020-09-25,dd_gt_10pct
LWAY,5293.400000000001,5183.95,-109.45000000000073,1.2108539867187817,2020-09-23,2020-09-25,dd_gt_10pct
SOHU,17.36,17.06,-0.3000000000000007,0.0033189236730528367,2020-09-23,2020-09-25,dd_gt_10pct
CLDX,48.92,51.2,2.280000000000001,-0.02522381991520151,2020-09-23,2020-09-25,dd_gt_10pct
FTK,5409.16,5489.0,79.84000000000015,-0.8832762201884611,2020-09-23,2020-09-25,dd_gt_10pct
EVH,6237.9,6326.639999999999,88.73999999999978,-0.9817376224890243,2020-09-23,2020-09-25,dd_gt_10pct
CELH,7842.38,7963.280000000001,120.90000000000055,-1.337526240240296,2020-09-23,2020-09-25,dd_gt_10pct
CLSK,9469.44,9658.5,189.0599999999995,-2.091585698757887,2020-09-23,2020-09-25,dd_gt_10pct
CYRX,6164.099999999999,6396.3,232.20000000000073,-2.5688469229428974,2020-09-23,2020-09-25,dd_gt_10pct
GOGO,6692.28,6931.29,239.01000000000022,-2.644186490321191,2020-09-23,2020-09-25,dd_gt_10pct
EXPI,6556.08,6973.8,417.72000000000025,-4.621269322358761,2020-09-23,2020-09-25,dd_gt_10pct
RUN,9011.119999999999,9703.16,692.0400000000009,-7.6560931289982745,2020-09-23,2020-09-25,dd_gt_10pct
NFE,8444.08,9182.759999999998,738.6799999999985,-8.17207512936886,2020-09-23,2020-09-25,dd_gt_10pct
NFE,8327.11,37.68,-8289.43,25.27054912807562,2020-10-28,2020-11-05,dd_gt_10pct
BBBY,7785.900000000001,0.0,-7785.900000000001,23.73552445177581,2020-10-28,2020-11-05,dd_gt_10pct
KOD,7477.08,0.0,-7477.08,22.794078419692504,2020-10-28,2020-11-05,dd_gt_10pct
PBI,7396.8,0.0,-7396.8,22.549342691903995,2020-10-28,2020-11-05,dd_gt_10pct
NVCR,7384.96,122.19,-7262.77,22.140748651103124,2020-10-28,2020-11-05,dd_gt_10pct
PINS,2659.5,1777.1599999999999,-882.3400000000001,2.6898370958758617,2020-10-28,2020-11-05,dd_gt_10pct
GME,7127.46,6904.349999999999,-223.11000000000058,0.680156804022106,2020-10-28,2020-11-05,dd_gt_10pct
PACB,8773.16,8635.0,-138.15999999999985,0.42118445629372875,2020-10-28,2020-11-05,dd_gt_10pct
SIG,7202.700000000001,7072.84,-129.86000000000058,0.39588168423786857,2020-10-28,2020-11-05,dd_gt_10pct
FTK,2.4,2.61,0.20999999999999996,-0.0006401906182808563,2020-10-28,2020-11-05,dd_gt_10pct
CLSK,7.21,9.3,2.0900000000000007,-0.006371420915271383,2020-10-28,2020-11-05,dd_gt_10pct
LMB,7351.96,7529.830000000001,177.8700000000008,-0.5422414536838879,2020-10-28,2020-11-05,dd_gt_10pct
GOGO,7395.349999999999,7717.9800000000005,322.630000000001,-0.9835461865521589,2020-10-28,2020-11-05,dd_gt_10pct
