date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt
2022-01-18,C1,HUDI,rebalance_sell,,,1.0,1,17.8055475,0.0044525,2022-01-19
2022-01-18,C1,LQDA,rebalance_sell,,,1.0,2009,12231.751297499999,3.0587025,2022-01-19
2022-01-19,C1,ASRT,rebalance_sell,,,1.0,1,2.1494625,0.0005375,2022-01-20
2022-01-19,C1,COKE,rebalance_sell,,,1.0,15,8646.0879375,2.1620625,2022-01-20
2022-01-19,C1,LQDA,rebalance_sell,,,1.0,1,5.7285675000000005,0.0014325000000000002,2022-01-20
2022-01-19,C1,UVE,rebalance_sell,,,1.0,1,18.325417499999997,0.0045825,2022-01-20
2022-01-20,C1,CCB,rebalance_sell,,,1.0,183,8942.803740000001,2.23626,2022-01-21
2022-01-21,C1,BWMN,rebalance_sell,,,1.0,272,5460.39456,1.3654399999999998,2022-01-24
2022-01-21,C1,LEE,rebalance_sell,,,1.0,236,8446.6878,2.1122,2022-01-24
2022-01-24,C1,BWMN,rebalance_sell,,,1.0,1,19.855035,0.004965,2022-01-25
2022-01-24,C1,LEE,rebalance_sell,,,1.0,1,35.251185,0.008815,2022-01-25
2022-01-24,C1,OXBR,rebalance_sell,,,1.0,1774,8619.484590000002,2.1554100000000007,2022-01-25
2022-01-24,C1,SRTS,rebalance_sell,,,1.0,1212,8590.93173,2.14827,2022-01-25
2022-01-25,C1,IMTE,defensive_sell,5.0,-2.543752451407496,0.5,443,3671.5518825,0.9181174999999999,2022-01-26
2022-01-25,C1,CPSS,rebalance_sell,,,1.0,488,5191.02192,1.2980800000000001,2022-01-26
2022-01-25,C1,HPK,rebalance_sell,,,1.0,524,9021.02418,2.25582,2022-01-26
2022-01-25,C1,IMTE,rebalance_sell,,,1.0,443,3671.5518825,0.9181174999999999,2022-01-26
2022-01-25,C1,OXBR,rebalance_sell,,,1.0,1,4.728817500000001,0.0011825000000000002,2022-01-26
2022-01-25,C1,PBT,rebalance_sell,,,1.0,897,11478.7296,2.8704000000000005,2022-01-26
2022-01-25,C1,SRTS,rebalance_sell,,,1.0,3,22.014495,0.005505,2022-01-26
2022-01-26,C1,ASRT,rebalance_sell,,,1.0,6,13.67658,0.00342,2022-01-27
2022-01-26,C1,FMAO,rebalance_sell,,,1.0,268,8616.725279999999,2.1547199999999997,2022-01-27
2022-01-26,C1,HPK,rebalance_sell,,,1.0,1,17.9955,0.0045000000000000005,2022-01-27
2022-01-27,C1,CCB,rebalance_sell,,,1.0,175,8415.395625,2.104375,2022-01-28
2022-01-28,C1,ACNB,rebalance_sell,,,1.0,261,8532.566325000002,2.1336750000000007,2022-01-31
2022-01-28,C1,CCB,rebalance_sell,,,1.0,1,46.94826,0.01174,2022-01-31
2022-01-28,C1,UVE,rebalance_sell,,,1.0,430,7321.069275000001,1.8307250000000002,2022-01-31
2022-01-31,C1,ACNB,rebalance_sell,,,1.0,1,32.3819025,0.0080975,2022-02-01
2022-01-31,C1,ASRT,rebalance_sell,,,1.0,3625,9386.4028125,2.3471875,2022-02-01
2022-01-31,C1,UVE,rebalance_sell,,,1.0,1,17.235689999999998,0.00431,2022-02-01
2022-02-01,C1,AMPH,rebalance_sell,,,1.0,377,9302.03391,2.32609,2022-02-02
2022-02-01,C1,COKE,rebalance_sell,,,1.0,15,8502.273900000002,2.1261000000000005,2022-02-02
2022-02-01,C1,EPC,rebalance_sell,,,1.0,130,5783.55375,1.44625,2022-02-02
2022-02-01,C1,PBT,rebalance_sell,,,1.0,691,8607.707535,2.1524650000000003,2022-02-02
2022-02-02,C1,AMPH,rebalance_sell,,,1.0,1,25.3236675,0.0063325,2022-02-03
2022-02-02,C1,INBK,rebalance_sell,,,1.0,183,9142.2238725,2.2861275,2022-02-03
2022-02-02,C1,PBT,rebalance_sell,,,1.0,1,12.6868275,0.0031725,2022-02-03
2022-02-03,C1,ASRT,rebalance_sell,,,1.0,3461,8338.924747500001,2.0852525,2022-02-04
2022-02-03,C1,INBK,rebalance_sell,,,1.0,1,49.0577325,0.0122675,2022-02-04
2022-02-03,C1,RGC,rebalance_sell,,,1.0,249,9083.7384975,2.2715025000000004,2022-02-04
2022-02-04,C1,LEE,defensive_sell,5.0,-2.535584470186497,0.5,128,4349.632320000001,1.08768,2022-02-07
2022-02-04,C1,ASRT,rebalance_sell,,,1.0,1,2.619345,0.0006550000000000001,2022-02-07
2022-02-04,C1,CPSS,rebalance_sell,,,1.0,798,8807.71752,2.20248,2022-02-07
