date,equity,top1_ticker,top1_weight_pct,n_tickers,n_positions_gt_10pct,max_concentration_pct,trim_events_today,regime_defensive_used
2023-07-06,388610.9417259301,AAOI,6.436108023340072,21,0,6.436108023340072,0,1
2023-07-07,401325.1780964605,AAOI,6.8831913639269455,21,0,6.8831913639269455,0,1
2023-07-10,413833.38528173236,AAOI,7.742797255998579,21,0,7.742797255998579,0,1
2023-07-11,420469.30672327324,AAOI,8.908973711285308,21,0,8.908973711285308,0,0
2023-07-12,425506.6582068031,AAOI,8.613891062119693,21,0,8.613891062119693,0,0
2023-07-13,430512.2753021151,CVNA,6.004121481056642,19,0,6.004121481056642,3,1
2023-07-14,424693.20221604116,NERV,6.224093030468003,18,0,6.224093030468003,0,1
2023-07-17,428924.49601346406,CVNA,5.842422205518749,18,0,5.842422205518749,0,1
2023-07-18,434524.3630866128,CVNA,6.283376104864756,18,0,6.283376104864756,0,1
2023-07-19,436347.7079948699,CVNA,8.772545219935024,18,0,8.772545219935024,0,0
2023-07-20,430057.6007398149,CVNA,7.454066605230021,18,0,7.454066605230021,0,0
2023-07-21,423147.65632302756,CVNA,7.395839143230278,18,0,7.395839143230278,0,1
2023-07-24,425503.5513660879,CVNA,7.454847297551391,18,0,7.454847297551391,0,1
2023-07-25,426054.58027566486,CVNA,7.102249664918892,18,0,7.102249664918892,0,1
2023-07-26,426316.62750251405,CVNA,7.039955297034013,18,0,7.039955297034013,0,0
2023-07-27,419699.07545466954,CVNA,6.005869794374253,18,0,6.005869794374253,1,0
2023-07-28,444977.5345172597,CVNA,6.16311113992571,18,0,6.16311113992571,0,0
2023-07-31,469910.4465037489,ACHR,6.590928171619806,18,0,6.590928171619806,0,0
2023-08-01,488608.9164147554,RGTI,7.58674243442041,18,0,7.58674243442041,0,0
2023-08-02,474074.9992508979,RGTI,7.1937858047542695,18,0,7.1937858047542695,0,0
2023-08-03,463735.88501279504,CVNA,6.957660824352587,18,0,6.957660824352587,0,1
2023-08-04,459475.8837010656,AAOI,8.123146681683707,18,0,8.123146681683707,0,1
2023-08-07,450460.8600113286,AAOI,9.316725097702063,17,0,9.316725097702063,0,1
2023-08-08,448042.6602128627,AAOI,9.223251192278685,17,0,9.223251192278685,0,1
2023-08-09,436084.5849840685,AAOI,9.452845025812131,17,0,9.452845025812131,0,1
2023-08-10,451732.8840811533,AAOI,6.003175982009807,18,0,6.003175982009807,2,1
2023-08-11,449519.48175027245,HLLY,6.391780816289969,18,0,6.391780816289969,0,1
2023-08-14,451117.48414509103,HLLY,6.28851707083823,18,0,6.28851707083823,0,0
2023-08-15,450089.77626766614,BVS,6.510718871022081,18,0,6.510718871022081,0,0
2023-08-16,436096.31812005525,BVS,6.365969820537975,18,0,6.365969820537975,0,1
2023-08-17,427397.79983431636,AAOI,5.681484558276456,17,0,5.681484558276456,0,1
2023-08-18,432540.2510116582,AAOI,5.557494347353143,16,0,5.557494347353143,0,1
2023-08-21,439326.9681074,AAOI,6.600168463346284,16,0,6.600168463346284,0,1
2023-08-22,441643.9976867835,AAOI,6.582550686133776,16,0,6.582550686133776,0,0
