date,variant,ticker,event,weight_before,weight_cap,value_sold_gross,proceeds_net,trade_cost,sold_shares,settle_dt
2021-02-23,C4,TIGR,concentration_trim,0.06074836163137426,0.06,252.6554252433125,251.757045,0.062955,9,2021-02-24
2021-03-09,C4,MARA,concentration_trim,0.07376054593858088,0.06,4520.542810924348,4484.818515000001,1.121485,122,2021-03-10
2021-03-23,C4,ACRS,concentration_trim,0.061719588580699605,0.06,566.6987635507612,557.120685,0.139315,22,2021-03-24
2021-03-23,C4,MARA,concentration_trim,0.061985067905169555,0.06,654.1887635507628,646.51833,0.16166999999999998,17,2021-03-24
2021-03-23,C4,ORGO,concentration_trim,0.06429582130750526,0.06,1415.7087635507633,1412.24685,0.35314999999999996,70,2021-03-24
2021-04-07,C4,ACRS,concentration_trim,0.0687730756876423,0.06,2949.0095140980084,2929.6674000000003,0.7326,99,2021-04-08
2021-04-07,C4,DAC,concentration_trim,0.062813888798305,0.06,945.869514098009,910.8022425,0.22775750000000003,17,2021-04-08
2021-04-07,C4,MARA,concentration_trim,0.07156236331978115,0.06,3886.609514098007,3884.8685399999995,0.97146,84,2021-04-08
2021-04-21,C4,HOV,concentration_trim,0.0617688042571961,0.06,543.6167319311062,457.32564,0.11436,4,2021-04-22
2021-04-21,C4,ORGO,concentration_trim,0.06775977723359909,0.06,2384.856731931108,2379.405,0.595,112,2021-04-22
2021-05-05,C4,HOV,concentration_trim,0.06693705858336003,0.06,2243.8442872247833,2137.8654,0.5346000000000001,16,2021-05-06
2021-05-05,C4,UAN,concentration_trim,0.06218527651749681,0.06,706.8442872247833,679.75002,0.16998,12,2021-05-06
2021-05-19,C4,TGLS,concentration_trim,0.0735057373362667,0.06,4330.621167045705,4316.2206750000005,1.079325,246,2021-05-20
2021-06-03,C4,AMC,concentration_trim,0.16432526617319046,0.06,41329.51176529718,41318.367825,10.332175000000001,805,2021-06-04
2021-06-17,C4,ESEA,concentration_trim,0.07027524611168798,0.06,4168.613636051501,4144.1637,1.0363,172,2021-06-18
2021-07-16,C4,BTU,concentration_trim,0.06169197353059341,0.06,629.214651334154,626.9632200000001,0.15678000000000003,72,2021-07-19
2021-07-30,C4,BTU,concentration_trim,0.07610898266467761,0.06,6349.919473131267,6345.233295000001,1.5867050000000003,542,2021-08-02
2021-08-13,C4,AMR,concentration_trim,0.06892367777988209,0.06,3679.634702092477,3652.08675,0.91325,100,2021-08-16
2021-08-27,C4,AEHR,concentration_trim,0.06206455183641834,0.06,878.0254915278892,872.10192,0.21808,116,2021-08-30
2021-08-27,C4,AMR,concentration_trim,0.06212676875622163,0.06,904.485491527892,896.0859224999999,0.22407749999999999,23,2021-08-30
2021-08-27,C4,ASPN,concentration_trim,0.06082030749465321,0.06,348.865491527893,308.902755,0.07724500000000001,7,2021-08-30
2021-08-27,C4,PRTA,concentration_trim,0.06295780904216548,0.06,1257.9154915278887,1226.0334149999999,0.306585,18,2021-08-30
2021-09-13,C4,AEHR,concentration_trim,0.08560684525536356,0.06,11837.444954158935,11831.941275,2.958725,1015,2021-09-14
2021-09-13,C4,AMR,concentration_trim,0.07493987623804133,0.06,6906.354954158931,6873.981075,1.718925,130,2021-09-14
2021-09-27,C4,AEHR,concentration_trim,0.07413100259877589,0.06,6843.161415870538,6834.061057499999,1.7089424999999998,453,2021-09-28
2021-09-27,C4,ASAN,concentration_trim,0.0644961080714325,0.06,2177.3114158705357,2165.2685475,0.5414525,19,2021-09-28
