date,arm,split,is_holdout,cycle_id,equity,cash_free,cash_pending,holdings_value,n_tickers,log_ret_equity,turnover_gross_pct,defensive_sells_today,defensive_sell_rate,trigger_spc_today,trigger_medio_grave_today,cash_idle_gt5,trade_cost_today,gross_sells_today,gross_buys_today,is_rebalance_day
2025-03-04,A2,SW2,1,-1,94747.49438638566,93748.77438638566,0.0,998.7199999999996,20,6.222683221989804e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-05,A2,SW2,1,-1,94769.82280674651,93764.88280674651,0.0,1004.9400000000002,20,0.00023563461951504002,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-06,A2,SW2,1,-1,94778.05899494307,93780.99399494307,0.0,997.0650000000002,20,8.690351085401354e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-07,A2,SW2,1,-1,94801.80795145093,93797.10795145093,0.0,1004.7000000000005,20,0.0002505430245798004,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-10,A2,SW2,1,-1,94784.21467674577,93813.22467674577,0.0,970.9900000000006,20,-0.00018559674929369467,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-11,A2,SW2,1,-1,94792.66417130332,93829.34417130332,0.0,963.3199999999996,20,8.914055990888235e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-12,A2,SW2,1,-1,94815.94643559943,93845.46643559943,0.0,970.4800000000004,20,0.0002455823534449093,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-13,A2,SW2,1,-1,94811.18147011,93861.59147011,0.0,949.5899999999996,20,-5.02561584206398e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-14,A2,SW2,1,-1,94859.58927531101,93877.71927531101,0.0,981.8700000000005,20,0.0005104403389286464,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-17,A2,SW2,1,-1,94899.86985167857,93893.84985167856,0.0,1006.0199999999996,20,0.00042454354747708037,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-18,A2,SW2,1,-1,94901.5431996888,93909.9831996888,0.0,991.5599999999998,20,1.7632619097591687e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-19,A2,SW2,1,-1,94940.71931981796,93926.11931981795,0.0,1014.6000000000004,20,0.00041272285912882545,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-20,A2,SW2,1,-1,94950.01321254237,93942.25821254237,0.0,1007.7549999999999,20,9.788674368552986e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-21,A2,SW2,1,-1,94954.64987833842,93958.39987833842,0.0,996.25,20,4.883151073274374e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-24,A2,SW2,1,-1,94992.21431768259,93974.5443176826,0.0,1017.6699999999996,20,0.0003955257697239929,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-25,A2,SW2,1,-1,94994.16153105148,93990.69153105147,0.0,1003.47,20,2.0498452694253312e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-26,A2,SW2,1,-1,95009.7315189217,94006.8415189217,0.0,1002.8900000000008,20,0.00016389125143852155,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-27,A2,SW2,1,-1,94997.49428177,94022.99428177,0.0,974.4999999999994,20,-0.00012880812418636836,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-28,A2,SW2,1,-1,94985.76002007318,94039.14982007319,0.0,946.6102000000001,20,-0.0001235294316319713,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-31,A2,SW2,1,-1,95005.71253430816,94055.30813430816,0.0,950.4044000000004,20,0.00021003589308587605,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-01,A2,SW2,1,-1,95023.45922495188,94071.46922495187,0.0,951.9899999999996,20,0.0001867785933181816,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-02,A2,SW2,1,-1,95057.2956924814,94087.63309248141,0.0,969.6626,20,0.0003560220276022967,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-03,A2,SW2,1,-1,94967.49553737389,94103.79973737389,0.0,863.6957999999997,20,-0.0009451415387553639,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-04,A2,SW2,1,-1,94964.94676010656,94119.96916010656,0.0,844.9776000000003,20,-2.68387773742752e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-07,A2,SW2,1,-1,94971.1331611567,94136.1413611567,0.0,834.9917999999997,20,6.514192621949465e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-08,A2,SW2,1,-1,94954.6867410017,94152.3163410017,0.0,802.3704000000002,20,-0.00017318782885420429,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-09,A2,SW2,1,-1,95059.23190011903,94168.49410011903,0.0,890.7378000000001,20,0.0011003948596416807,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-10,A2,SW2,1,-1,95020.23963898624,94184.67463898624,0.0,835.5650000000002,20,-0.0004102732542763285,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-11,A2,SW2,1,-1,95046.35455808096,94200.85795808096,0.0,845.4966,20,0.0002747975715499454,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-14,A2,SW2,1,-1,95074.32105788091,94217.0440578809,0.0,857.2770000000004,20,0.00029419735555904635,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-15,A2,SW2,1,-1,95079.18973886388,94233.23293886388,0.0,845.9568,20,5.1207900013304795e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-16,A2,SW2,1,-1,95086.52980150774,94249.42460150774,0.0,837.1052000000004,20,7.719648594136004e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-17,A2,SW2,1,-1,95122.50264629046,94265.61904629046,0.0,856.8835999999998,20,0.00037824539401395247,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-21,A2,SW2,1,-1,95127.39387369009,94281.81627369008,0.0,845.5775999999996,20,5.1418975675404775e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-22,A2,SW2,1,-1,95177.17628418474,94298.01628418473,0.0,879.1599999999999,20,0.00052318671683937,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-23,A2,SW2,1,-1,95201.02907825261,94314.21907825262,0.0,886.8100000000003,20,0.0002505832445186654,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-24,A2,SW2,1,-1,95231.21705637203,94330.42465637202,0.0,900.7923999999996,20,0.0003170469181038511,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-25,A2,SW2,1,-1,95249.70981902131,94346.63301902132,0.0,903.0767999999996,20,0.00019416918019816035,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-28,A2,SW2,1,-1,95269.61096667896,94362.84416667896,0.0,906.7668000000004,20,0.0002089147457376528,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-29,A2,SW2,1,-1,95281.17929982347,94379.05809982348,0.0,902.1212000000003,20,0.00012141994417916505,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-04-30,A2,SW2,1,-1,95293.0092189335,94395.2748189335,0.0,897.7343999999997,20,0.0001241502767733338,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-01,A2,SW2,1,-1,95306.76432448771,94411.4943244877,0.0,895.2699999999998,20,0.00014433496244372268,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-02,A2,SW2,1,-1,95345.4766169649,94427.7166169649,0.0,917.7600000000003,20,0.00040610372915685707,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-05,A2,SW2,1,-1,95360.01209684393,94443.94169684393,0.0,916.0704000000004,20,0.00015243903051987215,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-06,A2,SW2,1,-1,95359.41456460375,94460.16956460376,0.0,899.245,20,-6.266086791913144e-06,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-07,A2,SW2,1,-1,95361.4206207234,94476.4002207234,0.0,885.0203999999997,20,2.1036570207718404e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-08,A2,SW2,1,-1,95403.84366568197,94492.63366568196,0.0,911.2100000000006,20,0.00044476698435225463,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-09,A2,SW2,1,-1,95426.46989995865,94508.86989995865,0.0,917.5999999999999,20,0.00023713459313610524,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
