arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,is_holdout,holding_days,top_n,n_veto,veto_rate,n_spc_blocked_pool,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_A_1.00,7,2024-06-21,2024-06-20,2024-07-08,2024-07-05,SW1,1,10,20,3,0.15,0,WGS;NVAX;EBS;STOK;ZIM;TMDX;SMR;HROW;VITL;IBTA;RZLT;LE;GH;PPTA;TPC;KNOP;RSI;PAAS;LNTH;NATL,EBS;STOK;ZIM;TMDX;SMR;HROW;VITL;RZLT;LE;GH;PPTA;TPC;KNOP;RSI;PAAS;LNTH;NATL;PAHC;SOHU;KGC,IBTA;NVAX;WGS,KGC;PAHC;SOHU,0.015003789676955256,0.02606168255195786,0.025986682551957862,7.500000000000001e-05
Arm_A_1.00,7,2024-07-08,2024-07-05,2024-07-22,2024-07-19,SW2,1,10,20,4,0.2,0,EBS;WGS;POET;NVAX;ZIM;ENVX;SMR;TMDX;IBTA;HUT;VITL;EOSE;GH;SITM;HROW;KNOP;PBI;NATL;RDW;PRE,NVAX;ZIM;ENVX;SMR;TMDX;HUT;VITL;EOSE;GH;SITM;HROW;KNOP;PBI;NATL;RDW;PRE;RZLT;FIP;RDDT;HLF,EBS;IBTA;POET;WGS,FIP;HLF;RDDT;RZLT,0.015620137406064277,0.005076399717193926,0.004976399717193926,0.0001
Arm_A_1.00,7,2024-07-22,2024-07-19,2024-08-05,2024-08-02,SW2,1,10,20,4,0.2,0,EBS;WGS;NVAX;POET;HROW;EOSE;HUT;ENVX;SMR;PLSE;SITM;RDW;GH;RIVN;ZETA;TPC;HNRG;LNTH;TMDX;MGNI,HROW;EOSE;HUT;ENVX;SMR;PLSE;SITM;RDW;GH;RIVN;ZETA;TPC;HNRG;LNTH;TMDX;MGNI;PRE;RSI;REAX;PBI,EBS;NVAX;POET;WGS,PBI;PRE;REAX;RSI,-0.13606336821229886,-0.12090904526063832,-0.12100904526063833,0.0001
Arm_A_1.00,7,2024-08-05,2024-08-02,2024-08-19,2024-08-16,SW2,1,10,20,0,0.0,0,EBS;HROW;EOSE;LUMN;NVAX;ZETA;LTH;GH;PLSE;HWKN;RCAT;NVRI;UNFI;RYAM;ULS;PACS;VOXR;ZUMZ;MIRM;RXO,EBS;HROW;EOSE;LUMN;NVAX;ZETA;LTH;GH;PLSE;HWKN;RCAT;NVRI;UNFI;RYAM;ULS;PACS;VOXR;ZUMZ;MIRM;RXO,,,0.11113400513435504,0.11113400513435504,0.11113400513435504,0.0
Arm_A_1.00,7,2024-08-19,2024-08-16,2024-09-03,2024-08-30,SW2,1,10,20,2,0.1,0,LUMN;RCAT;EOSE;HROW;PLSE;NUTX;YOU;MIRM;LTH;SMMT;ZUMZ;SKE;RUN;STRT;RKLB;ICUI;EBS;HRTG;WGS;RYAM,EOSE;HROW;PLSE;NUTX;YOU;MIRM;LTH;SMMT;ZUMZ;SKE;RUN;STRT;RKLB;ICUI;EBS;HRTG;WGS;RYAM;STEP;RZLT,LUMN;RCAT,RZLT;STEP,0.030963892665263792,0.038708215266234865,0.03865821526623486,5e-05
Arm_A_1.00,7,2024-09-03,2024-08-30,2024-09-17,2024-09-16,SW2,1,10,20,4,0.2,0,LUMN;EOSE;RCAT;NUTX;HROW;HRTG;YOU;REPL;HNST;ZETA;TNGX;MIRM;POET;UPST;PRM;SKE;OCUL;PHAT;LENZ;HIFS,HROW;HRTG;YOU;REPL;HNST;ZETA;TNGX;MIRM;POET;UPST;PRM;SKE;OCUL;PHAT;LENZ;HIFS;ZUMZ;GDYN;PNTG;FISI,EOSE;LUMN;NUTX;RCAT,FISI;GDYN;PNTG;ZUMZ,-0.005323067459015183,-0.030520537757494758,-0.030620537757494758,0.0001
Arm_A_1.00,7,2024-09-17,2024-09-16,2024-10-01,2024-09-30,SW2,1,10,20,4,0.2,0,LUMN;NUTX;SMMT;EOSE;RCAT;HROW;GEVO;UNIT;HRTG;SKE;YOU;VRDN;ZETA;POET;RKLB;IMRX;OCUL;ZBIO;ZVRA;SOC,RCAT;HROW;GEVO;UNIT;HRTG;SKE;YOU;VRDN;ZETA;POET;RKLB;IMRX;OCUL;ZBIO;ZVRA;SOC;PHAT;PLSE;PRAX;PRM,EOSE;LUMN;NUTX;SMMT,PHAT;PLSE;PRAX;PRM,0.003121577567336446,0.009966175635876076,0.009866175635876077,0.0001
Arm_A_1.00,7,2024-10-01,2024-09-30,2024-10-15,2024-10-14,SW2,1,10,20,4,0.2,0,LUMN;NUTX;GEVO;SMMT;RKLB;UNIT;HROW;RCAT;IMRX;RIGL;LUNR;HRTG;VHI;VRDN;PRM;PHAT;YOU;KRNT;ZETA;PPTA,RKLB;UNIT;HROW;RCAT;IMRX;RIGL;LUNR;HRTG;VHI;VRDN;PRM;PHAT;YOU;KRNT;ZETA;PPTA;EOSE;STRT;LDI;SPRY,GEVO;LUMN;NUTX;SMMT,EOSE;LDI;SPRY;STRT,-0.012631525246145015,-0.02200643530380887,-0.02210643530380887,0.0001
Arm_A_1.00,7,2024-10-15,2024-10-14,2024-10-29,2024-10-28,SW2,1,10,20,4,0.2,0,LUMN;NUTX;GEVO;VHI;SRRK;SMMT;POWL;LB;HROW;WGS;RKLB;RCAT;YOU;ZBIO;LUNR;UPST;KRUS;PRM;SN;ZETA,VHI;SMMT;POWL;LB;HROW;WGS;RKLB;RCAT;YOU;ZBIO;LUNR;UPST;KRUS;PRM;SN;ZETA;USAS;IESC;YUMC;KRNT,GEVO;LUMN;NUTX;SRRK,IESC;KRNT;USAS;YUMC,0.045324183211788605,0.009995757404277952,0.009895757404277953,0.0001
Arm_A_1.00,7,2024-10-29,2024-10-28,2024-11-12,2024-11-11,SW2,1,10,20,5,0.25,0,GEVO;MNPR;NUTX;LTBR;SRRK;RKLB;LEU;SMR;ZBIO;LUNR;SMMT;ULCC;GLUE;USAS;UPST;HROW;KRUS;LUMN;YOU;WGS,RKLB;LEU;SMR;ZBIO;LUNR;SMMT;ULCC;GLUE;USAS;UPST;HROW;KRUS;LUMN;YOU;WGS;VHI;VSCO;PCT;IMRX;LB,GEVO;LTBR;MNPR;NUTX;SRRK,IMRX;LB;PCT;VHI;VSCO,0.03215807923221582,0.06813357933299943,0.06800857933299943,0.000125
