date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,rebalance_cadence,is_rebalance_day,equity_base100
2026-01-13,ARM_0,189610.606281764,35147.16508176399,7753.261199999999,19,0.06442804144535301,731.8399938000007,0.00014444444444444446,1,21,20,50,1,83,10,0,189.57051061424121
2026-01-14,ARM_0,189081.42301000468,42906.62301000469,0.0,19,0.06537204873556497,731.8399938000007,0.00014444444444444446,1,21,20,50,1,83,10,0,189.0414392452754
2026-01-15,ARM_0,189687.91063332837,42912.82063332836,0.0,19,0.06688059327367055,731.8399938000007,0.00014444444444444446,0,21,20,50,0,83,10,0,189.64779861877923
2026-01-16,ARM_0,189787.22915186427,42919.01915186429,0.0,19,0.06756102640467918,731.8399938000007,0.00014444444444444446,0,21,20,50,0,83,10,0,189.74709613510237
2026-01-20,ARM_0,195527.8985657418,42925.21856574179,0.0,19,0.07896555996999406,731.8399938000007,0.00014444444444444446,0,21,20,50,0,83,10,0,195.48655160859602
2026-01-21,ARM_0,197481.70887509015,42931.418875090174,0.0,19,0.07869078148310563,731.8399938000007,0.00014444444444444446,0,21,20,50,0,83,10,0,197.4399487589439
2026-01-22,ARM_0,199573.9300800388,42937.6200800388,0.0,19,0.08445536946253598,731.8399938000007,0.00014444444444444446,0,21,20,50,0,83,10,0,199.53172753607976
2026-01-23,ARM_0,196352.13718071702,42943.822180717034,0.0,19,0.09312172641732601,731.8399938000007,0.00014444444444444446,0,21,20,50,0,83,10,0,196.3106159274276
2026-01-26,ARM_0,192842.45271107886,0.539121078833258,98680.96359000003,15,0.061034278679467396,767.249541300001,0.00014444444444444446,1,21,20,50,0,83,10,1,192.80167362693476
2026-01-27,ARM_0,195298.4910709149,98695.75670591492,9680.119365,15,0.06571940177120732,769.670176300001,0.00014444444444444446,1,21,20,51,1,84,10,0,195.25719262501445
2026-01-28,ARM_0,192724.6303641252,108391.53036412517,0.0,15,0.06844350914088144,769.670176300001,0.00014444444444444446,1,21,20,51,1,84,10,0,192.6838761950728
2026-01-29,ARM_0,190789.8886335111,108407.1869185111,4711.961715,15,0.07066674285815312,770.848461300001,0.00014444444444444446,1,21,21,51,2,85,10,0,190.74954359115628
2026-01-30,ARM_0,188103.57806609146,113135.4880660915,0.0,15,0.07658679408500282,770.848461300001,0.00014444444444444446,1,21,21,51,2,85,10,0,188.06380107959328
2026-02-02,ARM_0,191468.39241881215,113151.82985881215,17305.43256,13,0.08686028952299268,775.175901300001,0.00014444444444444446,1,21,21,55,4,89,10,0,191.42790389786865
