arm,threshold,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,holding_days,top_n,n_veto,veto_rate,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_A_0.80,0.8,5,2019-07-16,2019-07-15,2019-07-30,2019-07-29,TRAIN,10,20,0,0.0,KOD;HROW;ROKU;PI;KTOS;RDVT;ZYME;PAGS;SAM;RGEN;NVCR;IDT;KNSL;USAS;SAH;VG;HEI;IIPR;SAFE;SLNO,KOD;HROW;ROKU;PI;KTOS;RDVT;ZYME;PAGS;SAM;RGEN;NVCR;IDT;KNSL;USAS;SAH;VG;HEI;IIPR;SAFE;SLNO,,,0.008613240307036292,0.008613240307036292,0.008613240307036292,0.0
Arm_A_0.80,0.8,5,2019-07-30,2019-07-29,2019-08-13,2019-08-12,TRAIN,10,20,0,0.0,NVCR;PAGS;RDVT;EGO;HROW;KOD;KTOS;ELLO;PERI;Z;ZG;RGLD;ROKU;SNAP;RGEN;USAS;SSRM;PAYS;GOLD;HEI,NVCR;PAGS;RDVT;EGO;HROW;KOD;KTOS;ELLO;PERI;Z;ZG;RGLD;ROKU;SNAP;RGEN;USAS;SSRM;PAYS;GOLD;HEI,,,-0.027746440241199655,-0.027746440241199655,-0.027746440241199655,0.0
Arm_A_0.80,0.8,5,2019-08-13,2019-08-12,2019-08-27,2019-08-26,TRAIN,10,20,1,0.05,EGO;USAS;NVCR;PAGS;PERI;FLGT;RGLD;KGC;SNAP;SSRM;ROKU;GOLD;PLMR;PAAS;HEI;SAH;RH;PAYS;ELF;RGEN,USAS;NVCR;PAGS;PERI;FLGT;RGLD;KGC;SNAP;SSRM;ROKU;GOLD;PLMR;PAAS;HEI;SAH;RH;PAYS;ELF;RGEN;SKY,EGO,SKY,0.043873562687999905,0.03613549019938754,0.03611049019938754,2.5e-05
Arm_A_0.80,0.8,5,2019-08-27,2019-08-26,2019-09-11,2019-09-10,TRAIN,10,20,1,0.05,EGO;USAS;PERI;NVCR;GOLD;PAAS;ELF;RGLD;RH;FLGT;PAGS;KGC;LSCC;PI;IAG;SSRM;SAH;MUX;ROKU;SAM,USAS;PERI;NVCR;GOLD;PAAS;ELF;RGLD;RH;FLGT;PAGS;KGC;LSCC;PI;IAG;SSRM;SAH;MUX;ROKU;SAM;PFSI,EGO,PFSI,-0.06724758718551077,-0.05949673359676315,-0.059521733596763146,2.5e-05
Arm_A_0.80,0.8,5,2019-09-11,2019-09-10,2019-09-25,2019-09-24,TRAIN,10,20,0,0.0,EGO;RH;PERI;PFSI;FLGT;SAIA;VC;ELLO;GEVO;MTSI;PAAS;PLMR;USAS;SLDB;GNW;UTI;HOV;IMKTA;RGLD;ZUMZ,EGO;RH;PERI;PFSI;FLGT;SAIA;VC;ELLO;GEVO;MTSI;PAAS;PLMR;USAS;SLDB;GNW;UTI;HOV;IMKTA;RGLD;ZUMZ,,,0.00363475597370473,0.00363475597370473,0.00363475597370473,0.0
Arm_A_0.80,0.8,5,2019-09-25,2019-09-24,2019-10-09,2019-10-08,TRAIN,10,20,2,0.1,HOV;SLDB;GEVO;SAIA;RH;FLGT;MTSI;UTI;PFSI;EGO;GOGO;MHO;PLMR;MTH;PERI;TPH;KBH;FCN;NCMI;KGC,GEVO;SAIA;RH;FLGT;MTSI;UTI;PFSI;EGO;GOGO;MHO;PLMR;MTH;PERI;TPH;KBH;FCN;NCMI;KGC;PRAA;TMHC,HOV;SLDB,PRAA;TMHC,-0.02195944001753361,-0.029892997150157103,-0.029942997150157104,5e-05
Arm_A_0.80,0.8,5,2019-10-09,2019-10-08,2019-10-23,2019-10-22,TRAIN,10,20,1,0.05,HOV;RH;SAIA;PLMR;PFSI;FLGT;KBH;NAT;UTI;MHO;MTH;ENTG;LEN.B;YORW;PLAB;NVMI;TMHC;JHX;IMKTA;MTSI,RH;SAIA;PLMR;PFSI;FLGT;KBH;NAT;UTI;MHO;MTH;ENTG;LEN.B;YORW;PLAB;NVMI;TMHC;JHX;IMKTA;MTSI;LEU,HOV,LEU,0.06489348137772846,0.047973873484183395,0.0479488734841834,2.5e-05
Arm_A_0.80,0.8,5,2019-10-23,2019-10-22,2019-11-06,2019-11-05,TRAIN,10,20,2,0.1,HOV;SLDB;PLMR;NAT;SAIA;RH;KOD;PFSI;FLGT;GME;KBH;TNK;UTI;NWL;LEN.B;STRL;IMKTA;MTZ;YORW;TMHC,PLMR;NAT;SAIA;RH;KOD;PFSI;FLGT;GME;KBH;TNK;UTI;NWL;LEN.B;STRL;IMKTA;MTZ;YORW;TMHC;JHX;NCMI,HOV;SLDB,JHX;NCMI,-0.033094902496681525,-0.029949776894511965,-0.029999776894511967,5e-05
Arm_A_0.80,0.8,5,2019-11-06,2019-11-05,2019-11-20,2019-11-19,TRAIN,10,20,1,0.05,HOV;LEU;TNK;KOD;NAT;ZYME;STRL;VC;MKSI;TPC;PBF;LPG;TILE;SSD;PNRG;OEC;ICHR;PLMR;LEG;PLAB,LEU;TNK;KOD;NAT;ZYME;STRL;VC;MKSI;TPC;PBF;LPG;TILE;SSD;PNRG;OEC;ICHR;PLMR;LEG;PLAB;PDFS,HOV,PDFS,-0.006772996691851875,-0.000691469528331973,-0.000716469528331973,2.5e-05
Arm_A_0.80,0.8,5,2019-11-20,2019-11-19,2019-12-05,2019-12-04,TRAIN,10,20,2,0.1,KOD;HOV;TNK;ZYME;ICHR;TILE;NAT;KRG;PLUG;JHG;TPC;KOP;THC;NSIT;PDFS;PBF;HL;WGO;LEU;PAR,TNK;ZYME;ICHR;TILE;NAT;KRG;PLUG;JHG;TPC;KOP;THC;NSIT;PDFS;PBF;HL;WGO;LEU;PAR;HNI;THO,HOV;KOD,HNI;THO,0.039936256292602376,-0.0034230312778993958,-0.003473031277899396,5e-05
Arm_A_0.80,0.8,5,2019-12-05,2019-12-04,2019-12-19,2019-12-18,TRAIN,10,20,1,0.05,KOD;TNK;NAT;THC;SAFE;RCKT;ZYME;WGO;TILE;NWPX;PATK;NSIT;HL;RH;USLM;LEU;PLMR;PLPC;RDNT;HOV,TNK;NAT;THC;SAFE;RCKT;ZYME;WGO;TILE;NWPX;PATK;NSIT;HL;RH;USLM;LEU;PLMR;PLPC;RDNT;HOV;NTNX,KOD,NTNX,0.04488575071592847,0.045083222740618004,0.045058222740618006,2.5e-05
