arm,threshold,phase,split,n_cycles,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,baseline_cvar5,baseline_sharpe
Arm_A_1.20,1.2,2,TRAIN,106,-0.17123326631322913,-1.4177288387920182,0.07500000000000001,-0.18647976315102774,-1.6244654405333132
Arm_A_1.20,1.2,3,TRAIN,106,-0.1485388702464311,-1.4908205347215535,0.07547169811320754,-0.18345416234587975,-1.9977388704424257
Arm_A_1.20,1.2,4,TRAIN,106,-0.17209892193984266,-1.746008492849137,0.07452830188679246,-0.2043210046802896,-1.8401902500066414
Arm_A_1.20,1.2,5,TRAIN,106,-0.17072625232227287,-0.5882734216309514,0.07169811320754718,-0.19031856877757938,-0.6553651434625942
Arm_A_1.20,1.2,6,TRAIN,106,-0.19210061979459025,-1.7307754536555493,0.07358490566037737,-0.2035919191619122,-1.2402555285285506
Arm_A_1.20,1.2,7,TRAIN,106,-0.18663392591324535,-1.1791120222361304,0.07264150943396228,-0.1840867124208695,-0.7318365907439929
Arm_A_1.20,1.2,8,TRAIN,106,-0.16237192705246137,-1.3621907950748373,0.07830188679245284,-0.16769754983533683,-1.3901768284734841
Arm_A_1.20,1.2,9,TRAIN,105,-0.14966370056487943,-0.7701626874800663,0.07714285714285715,-0.16714040468435634,-0.4147026615045923
Arm_A_1.30,1.3,0,TRAIN,106,-0.14367223615481794,-1.9868725893594712,0.06132075471698114,-0.15135741582972542,-1.6491470173703702
Arm_A_1.30,1.3,1,TRAIN,106,-0.14584797031417768,-1.2021453069128452,0.05943396226415095,-0.15477363167471384,-0.6217374131406778
Arm_A_1.30,1.3,2,TRAIN,106,-0.17663924358772412,-1.4325972057433245,0.06132075471698114,-0.18647976315102774,-1.6244654405333132
Arm_A_1.30,1.3,3,TRAIN,106,-0.15416698379184704,-1.4932856541791586,0.0580188679245283,-0.18345416234587975,-1.9977388704424257
Arm_A_1.30,1.3,4,TRAIN,106,-0.17973059386177606,-1.8956876295230651,0.05613207547169812,-0.2043210046802896,-1.8401902500066414
Arm_A_1.30,1.3,5,TRAIN,106,-0.17185911144321522,-0.5014067111991808,0.05613207547169812,-0.19031856877757938,-0.6553651434625942
Arm_A_1.30,1.3,6,TRAIN,106,-0.1910637978749713,-1.7160758991477323,0.05754716981132077,-0.2035919191619122,-1.2402555285285506
Arm_A_1.30,1.3,7,TRAIN,106,-0.1935290300508489,-1.3484816779145568,0.06037735849056605,-0.1840867124208695,-0.7318365907439929
Arm_A_1.30,1.3,8,TRAIN,106,-0.15801372921681237,-1.2952774628923365,0.06415094339622643,-0.16769754983533683,-1.3901768284734841
Arm_A_1.30,1.3,9,TRAIN,105,-0.14442291388120287,-0.5576000829924393,0.06190476190476192,-0.16714040468435634,-0.4147026615045923
Baseline,,0,TRAIN,106,-0.15135741582972542,-1.6491470173703702,0.0,-0.15135741582972542,-1.6491470173703702
Baseline,,1,TRAIN,106,-0.15477363167471384,-0.6217374131406778,0.0,-0.15477363167471384,-0.6217374131406778
Baseline,,2,TRAIN,106,-0.18647976315102774,-1.6244654405333132,0.0,-0.18647976315102774,-1.6244654405333132
Baseline,,3,TRAIN,106,-0.18345416234587975,-1.9977388704424257,0.0,-0.18345416234587975,-1.9977388704424257
Baseline,,4,TRAIN,106,-0.2043210046802896,-1.8401902500066414,0.0,-0.2043210046802896,-1.8401902500066414
Baseline,,5,TRAIN,106,-0.19031856877757938,-0.6553651434625942,0.0,-0.19031856877757938,-0.6553651434625942
Baseline,,6,TRAIN,106,-0.2035919191619122,-1.2402555285285506,0.0,-0.2035919191619122,-1.2402555285285506
Baseline,,7,TRAIN,106,-0.1840867124208695,-0.7318365907439929,0.0,-0.1840867124208695,-0.7318365907439929
Baseline,,8,TRAIN,106,-0.16769754983533683,-1.3901768284734841,0.0,-0.16769754983533683,-1.3901768284734841
Baseline,,9,TRAIN,105,-0.16714040468435634,-0.4147026615045923,0.0,-0.16714040468435634,-0.4147026615045923
