phase,date,ticker,ret_62,late_rocket,forward_logret,split
1,2021-10-20,LC,0.7396953236120402,0,0.31182708725344505,TRAIN
1,2021-10-20,LEU,0.7747348866095627,0,0.2374749457758124,TRAIN
1,2021-10-20,MNDY,0.5653514307812624,0,0.010566385249718339,TRAIN
1,2021-10-20,PCTY,0.3583300815038825,0,0.03999859904667215,TRAIN
1,2021-10-20,RRC,0.4537672318540097,0,-0.022690049055709385,TRAIN
1,2021-10-20,RSI,0.7066914056677024,0,0.03332008386846053,TRAIN
1,2021-10-20,SITM,0.5810941425642473,0,0.16956903227037404,TRAIN
1,2021-10-20,SPSC,0.5143511877300296,0,-0.12769626312549248,TRAIN
1,2021-10-20,TIPT,0.5065612249795328,0,0.018419066293133404,TRAIN
1,2021-10-20,TNET,0.29899717262509135,0,0.044839766562777036,TRAIN
1,2021-10-20,UPST,1.1441753999320852,1,-0.06467655688905,TRAIN
1,2021-10-20,WFRD,0.5434964060555393,0,0.011716803667221262,TRAIN
1,2021-11-03,ENTA,0.6223766682292579,0,0.06491556770728878,TRAIN
1,2021-11-03,ENVX,0.6869227542392873,0,0.14958650298267076,TRAIN
1,2021-11-03,FLNG,0.45386567453233534,0,0.09606267524739809,TRAIN
1,2021-11-03,HRI,0.43753063254693814,0,-0.0055891343962983725,TRAIN
1,2021-11-03,HRMY,0.4451649779548492,0,-0.014961669054531699,TRAIN
1,2021-11-03,HUT,1.0580747560642016,1,-0.10701382444832877,TRAIN
1,2021-11-03,IFS,0.4084106183379209,0,-0.15947045645306737,TRAIN
1,2021-11-03,KOS,0.524070850516011,0,-0.04027389913793996,TRAIN
1,2021-11-03,LAC,0.7214262512328243,0,0.0907622224631324,TRAIN
1,2021-11-03,LEU,1.0458514975433726,1,0.11881397229439333,TRAIN
1,2021-11-03,LOB,0.4321831030127712,0,0.03844585194380496,TRAIN
1,2021-11-03,LQDA,0.4989911661189878,0,0.20460543031529854,TRAIN
1,2021-11-03,OCGN,0.7381792588388009,0,-0.6561871328082102,TRAIN
1,2021-11-03,PBT,0.42796193221497575,0,0.05784745128194147,TRAIN
1,2021-11-03,RRC,0.46635538356694484,0,-0.03371105734231172,TRAIN
1,2021-11-03,RSI,0.6401204496828719,0,0.011499887155834186,TRAIN
