arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,is_holdout,holding_days,top_n,n_veto,veto_rate,n_bandexp_blocked_pool,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,m3_rank_substitutos,m3_rank_max_substituto,vetados_com_r001_ativo,vetados_com_ret62_puro,overlap_com_par_tier,n_overlap_com_par_tier,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_BandExpRet62,6,2023-10-10,2023-10-09,2023-10-24,2023-10-23,SW1,1,10,20,0,0.0,82,TOI;TNGX;MTRX;HHH;HNRG;LEU;URG;UROY;TIGR;VRT;ROAD;MMYT;PRDO;HRB;TNET;PAY;MLKN;RNGR;SLNO;MOD,TOI;TNGX;MTRX;HHH;HNRG;LEU;URG;UROY;TIGR;VRT;ROAD;MMYT;PRDO;HRB;TNET;PAY;MLKN;RNGR;SLNO;MOD,,,,,,,,0,-0.06560796133163829,-0.06560796133163829,-0.06560796133163829,0.0
Arm_BandExpRet62,6,2023-10-24,2023-10-23,2023-11-07,2023-11-06,SW1,1,10,20,0,0.0,100,HHH;SLNO;MTRX;SKYH;HNRG;TNGX;URG;GNE;VRT;PR;PRDO;HRB;ROAD;RNGR;MMYT;RELY;IGIC;IMMX;LEU;STNG,HHH;SLNO;MTRX;SKYH;HNRG;TNGX;URG;GNE;VRT;PR;PRDO;HRB;ROAD;RNGR;MMYT;RELY;IGIC;IMMX;LEU;STNG,,,,,,,,0,0.007460507746856744,0.007460507746856744,0.007460507746856744,0.0
Arm_BandExpRet62,6,2023-11-07,2023-11-06,2023-11-21,2023-11-20,SW1,1,10,20,0,0.0,102,HHH;SRRK;IMMX;SLNO;IBRX;MTRX;GNE;SN;LRN;TOI;SKYH;LPG;HRTG;GEL;USAC;PKOH;URG;MUSA;NTNX;HNRG,HHH;SRRK;IMMX;SLNO;IBRX;MTRX;GNE;SN;LRN;TOI;SKYH;LPG;HRTG;GEL;USAC;PKOH;URG;MUSA;NTNX;HNRG,,,,,,,,0,0.042997606488606545,0.042997606488606545,0.042997606488606545,0.0
Arm_BandExpRet62,6,2023-11-21,2023-11-20,2023-12-06,2023-12-05,SW1,1,10,20,0,0.0,93,TOI;SLNO;IBRX;IMMX;LPG;SKYH;GNE;SRRK;TLS;NAK;GIII;FG;LRN;RBLX;MSTR;SN;UTI;GEO;TPG;SOPH,TOI;SLNO;IBRX;IMMX;LPG;SKYH;GNE;SRRK;TLS;NAK;GIII;FG;LRN;RBLX;MSTR;SN;UTI;GEO;TPG;SOPH,,,,,,,,0,0.03709711221436944,0.03709711221436944,0.03709711221436944,0.0
Arm_BandExpRet62,6,2023-12-06,2023-12-05,2023-12-20,2023-12-19,SW1,1,10,20,0,0.0,116,SLNO;SRRK;IBRX;SKYH;HRTG;PLSE;TLS;PRCH;FEIM;FG;IMMX;MSTR;GNE;LPG;METCB;SNAP;UTI;VRNS;MLKN;SMMT,SLNO;SRRK;IBRX;SKYH;HRTG;PLSE;TLS;PRCH;FEIM;FG;IMMX;MSTR;GNE;LPG;METCB;SNAP;UTI;VRNS;MLKN;SMMT,,,,,,,,0,0.08502054494035924,0.08502054494035924,0.08502054494035924,0.0
Arm_BandExpRet62,6,2023-12-20,2023-12-19,2024-01-05,2024-01-04,SW1,1,10,20,0,0.0,100,SLNO;PRCH;SRRK;PLSE;STTK;SKYH;HNST;SNAP;IBRX;GNE;RYTM;TLS;TGTX;RBLX;STNE;FG;S;MSTR;RKT;PLNT,SLNO;PRCH;SRRK;PLSE;STTK;SKYH;HNST;SNAP;IBRX;GNE;RYTM;TLS;TGTX;RBLX;STNE;FG;S;MSTR;RKT;PLNT,,,,,,,,0,-0.040733135232408804,-0.040733135232408804,-0.040733135232408804,0.0
Arm_BandExpRet62,6,2024-01-05,2024-01-04,2024-01-22,2024-01-19,SW1,1,10,20,2,0.1,123,STTK;PRCH;IBRX;SKYH;HNST;GCT;TGTX;SRRK;MSTR;LDI;SNAP;PLSE;GNE;RYTM;SOPH;ZYME;KOPN;KURA;ILPT;MHO,IBRX;SKYH;HNST;GCT;TGTX;SRRK;MSTR;LDI;SNAP;PLSE;GNE;RYTM;SOPH;ZYME;KOPN;KURA;ILPT;MHO;STNE;VSAT,PRCH;STTK,STNE;VSAT,44;45,45.0,,PRCH;STTK,,0,-0.10344800419561533,-0.10823934941453332,-0.10828934941453332,5e-05
Arm_BandExpRet62,6,2024-01-22,2024-01-19,2024-02-05,2024-02-02,SW1,1,10,20,3,0.15,107,STTK;PRCH;SLDB;NAMS;IBRX;HOV;LQDA;KYMR;GCT;VKTX;TGTX;SLNO;IVVD;MHO;HNST;SPRY;IBP;PBYI;SNDX;SNAP,STTK;NAMS;IBRX;HOV;LQDA;KYMR;GCT;VKTX;TGTX;SLNO;MHO;HNST;SPRY;IBP;PBYI;SNDX;SNAP;SKYH;UTI;SPIR,IVVD;PRCH;SLDB,SKYH;SPIR;UTI,36;40;39,40.0,,IVVD;PRCH;SLDB,,0,0.05052152812419908,0.053041709862528895,0.052966709862528896,7.500000000000001e-05
Arm_BandExpRet62,6,2024-02-05,2024-02-02,2024-02-20,2024-02-16,SW1,1,10,20,0,0.0,73,STTK;VERA;PRCH;KYMR;HNST;VKTX;KURA;PRAX;HOV;GCT;NSSC;IVVD;LQDA;PAGS;TMDX;SLNO;LRMR;MOD;REAX;VSTM,STTK;VERA;PRCH;KYMR;HNST;VKTX;KURA;PRAX;HOV;GCT;NSSC;IVVD;LQDA;PAGS;TMDX;SLNO;LRMR;MOD;REAX;VSTM,,,,,,,,0,0.12328538085321775,0.12328538085321775,0.12328538085321775,0.0
Arm_BandExpRet62,6,2024-02-20,2024-02-16,2024-03-05,2024-03-04,SW1,1,10,20,2,0.1,74,LRMR;OCUL;GCT;VKTX;VERA;IMNM;STTK;SLDB;WGS;SMMT;PRAX;OCGN;KOD;MLYS;SPIR;LQDA;REAX;HNST;KYMR;HYLN,LRMR;OCUL;VKTX;VERA;STTK;SLDB;WGS;SMMT;PRAX;OCGN;KOD;MLYS;SPIR;LQDA;REAX;HNST;KYMR;HYLN;SLNO;KURA,GCT;IMNM,KURA;SLNO,42;40,42.0,,GCT;IMNM,,0,0.10265319233504626,0.09843231166499883,0.09838231166499883,5e-05
Arm_BandExpRet62,6,2024-03-05,2024-03-04,2024-03-19,2024-03-18,SW1,1,10,20,2,0.1,69,VKTX;WGS;OCUL;ROOT;STTK;VERA;LRMR;GCT;IMNM;PRAX;HYLN;JANX;SLDB;MSTR;RZLT;NAMS;REAX;MLYS;RLMD;SPIR,VKTX;WGS;OCUL;ROOT;STTK;VERA;LRMR;PRAX;HYLN;JANX;SLDB;MSTR;RZLT;NAMS;REAX;MLYS;RLMD;SPIR;KYMR;POWL,GCT;IMNM,KYMR;POWL,39;40,40.0,,GCT;IMNM,,0,-0.06167199486144036,-0.06088076891447729,-0.06093076891447729,5e-05
Arm_BandExpRet62,6,2024-03-19,2024-03-18,2024-04-03,2024-04-02,SW1,1,10,20,4,0.2,86,ROOT;PRAX;WGS;SOUN;IMNM;SNDA;SMR;OCGN;SLDB;OCUL;VERA;MSTR;VKTX;LQDA;RZLT;GCT;HYLN;GHRS;JANX;HIPO,ROOT;PRAX;WGS;SNDA;SMR;SLDB;OCUL;VERA;MSTR;LQDA;RZLT;GCT;HYLN;GHRS;JANX;HIPO;NAMS;SPRY;SANA;RLMD,IMNM;OCGN;SOUN;VKTX,NAMS;RLMD;SANA;SPRY,40;45;43;41,45.0,,IMNM;OCGN;SOUN;VKTX,,0,-0.0131713176000059,-0.02149459420503815,-0.021594594205038148,0.0001
Arm_BandExpRet62,6,2024-04-03,2024-04-02,2024-04-17,2024-04-16,SW1,1,10,20,2,0.1,93,ROOT;VKTX;WGS;SNDA;PRAX;VERA;GHRS;RZLT;EME;VRT;HIPO;REAX;NUVB;HYLN;MSTR;VFF;IESC;FIP;FIHL;PRM,VKTX;WGS;PRAX;VERA;GHRS;RZLT;EME;VRT;HIPO;REAX;NUVB;HYLN;MSTR;VFF;IESC;FIP;FIHL;PRM;SANA;LUNR,ROOT;SNDA,LUNR;SANA,44;43,44.0,,ROOT;SNDA,,0,-0.016515750827659534,-0.03079900358059142,-0.030849003580591422,5e-05
Arm_BandExpRet62,6,2024-04-17,2024-04-16,2024-05-01,2024-04-30,SW1,1,10,20,3,0.15,77,ROOT;RZLT;JANX;SNDA;OCGN;HIPO;VERA;SLS;WGS;VKTX;FIP;PPTA;MSTR;GHRS;TGB;STOK;VITL;PRM;EME;SMTC,RZLT;JANX;HIPO;VERA;SLS;WGS;VKTX;FIP;PPTA;MSTR;GHRS;TGB;STOK;VITL;PRM;EME;SMTC;VRT;OCUL;MUX,OCGN;ROOT;SNDA,MUX;OCUL;VRT,41;40;38,41.0,,OCGN;ROOT;SNDA,,0,0.01897305829713115,-0.0010579730728062086,-0.0011329730728062086,7.500000000000001e-05
