date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,rebalance_cadence,is_rebalance_day,equity_base100,track,top_n,max_weight_cap,split,is_holdout,cash_ratio,log_ret_equity
2025-12-30,C4,245559.20133821544,98672.08133821543,0.0,10,0.07852106496079928,1030.9972557749995,0.00014444444444444446,1,12,13,27,0,52,10,0,245.50727460116684,COVARIADO,15,0.08,SW2,1,0.40182603950691165,-0.006991284289010984
2025-12-31,C4,246187.18130648503,1.8402089850041565,60300.5310975,12,0.07712115594013615,1070.7375532749998,0.00014444444444444446,1,12,13,27,0,52,10,1,246.1351217747763,COVARIADO,15,0.08,SW2,1,7.4748367288597006e-06,0.002554082070798996
2026-01-02,C4,244134.1916490071,60311.08164900706,0.0,12,0.07946207726564834,1070.7375532749998,0.00014444444444444446,1,12,13,27,0,52,10,0,244.08256624908216,COVARIADO,15,0.08,SW2,1,0.24704070020522398,-0.008374106322797099
2026-01-05,C4,248546.14324968972,60319.7932496897,0.0,12,0.08011534494017886,1070.7375532749998,0.00014444444444444446,0,12,13,27,0,52,10,0,248.49358488431537,COVARIADO,15,0.08,SW2,1,0.24269052201342095,0.01791047552838197
2026-01-06,C4,253119.08610871463,60328.50610871465,0.0,12,0.08177605378643689,1070.7375532749998,0.00014444444444444446,0,12,13,27,0,52,10,0,253.06556073416255,COVARIADO,15,0.08,SW2,1,0.23834040741915274,0.018231558646293302
2026-01-07,C4,273361.6702262637,60337.22022626369,0.0,12,0.08907935037068136,1070.7375532749998,0.00014444444444444446,0,12,13,27,0,52,10,0,273.3038642898881,COVARIADO,15,0.08,SW2,1,0.22072304495477393,0.07693564370942087
2026-01-08,C4,270870.5956025186,60345.9356025186,0.0,12,0.09773766673016404,1070.7375532749998,0.00014444444444444446,0,12,13,27,0,52,10,0,270.81331643678016,COVARIADO,15,0.08,SW2,1,0.22278511061079342,-0.009154517941015244
2026-01-09,C4,275820.7622376612,60354.65223766119,0.0,12,0.09207747739496404,1070.7375532749998,0.00014444444444444446,1,12,13,27,0,52,10,0,275.76243629379434,COVARIADO,15,0.08,SW2,1,0.21881837954481667,0.01811004274018327
2026-01-12,C4,273603.9901318733,60363.3701318733,0.0,12,0.09068259563042698,1070.7375532749998,0.00014444444444444446,1,12,13,27,0,52,10,0,273.54613295375253,COVARIADO,15,0.08,SW2,1,0.22062313529411248,-0.008069473117954848
2026-01-13,C4,278327.64942283684,60372.0892853368,13875.980137499999,11,0.09050304578878536,1074.2074157749998,0.00014444444444444446,1,12,13,28,1,53,10,0,278.2687933645577,COVARIADO,15,0.08,SW2,1,0.21691013958020103,0.017117245281533754
2026-01-14,C4,279452.9541439756,74258.79414397565,0.0,11,0.09109297154498797,1074.2074157749998,0.00014444444444444446,1,12,13,28,1,53,10,0,279.39386012514757,COVARIADO,15,0.08,SW2,1,0.2657291434669076,0.004034942200130102
2026-01-15,C4,279112.0533678453,4.66592534532642,82709.5474425,12,0.080380405393788,1113.4488657750005,0.00014444444444444446,1,12,13,28,0,53,10,1,279.0530314369898,COVARIADO,15,0.08,SW2,1,1.6717032779580956e-05,-0.0012206307730435945
2026-01-16,C4,280826.2822489429,82726.1609764429,16390.8112725,11,0.07952289871573823,1117.5475932750005,0.00014444444444444446,1,12,13,29,1,54,10,0,280.76689782174486,COVARIADO,15,0.08,SW2,1,0.2945812632419817,0.006122939358305771
2026-01-20,C4,280412.0791449344,99131.28914493442,0.0,11,0.08363619738320273,1117.5475932750005,0.00014444444444444446,1,12,13,29,0,54,10,0,280.3527823064545,COVARIADO,15,0.08,SW2,1,0.35352003896271955,-0.001476033028750418
2026-01-21,C4,284789.468108922,99145.60810892202,0.0,11,0.08479920328642035,1117.5475932750005,0.00014444444444444446,1,12,13,29,0,54,10,0,284.7292456137188,COVARIADO,15,0.08,SW2,1,0.3481364980498587,0.015489966403862592
2026-01-22,C4,282787.0191412044,99159.92914120443,0.0,11,0.08787609868185466,1117.5475932750005,0.00014444444444444446,1,12,13,29,0,54,10,0,282.7272200902885,COVARIADO,15,0.08,SW2,1,0.35065233702149096,-0.007056167128496196
2026-01-23,C4,277676.9622420804,99174.25224208039,0.0,11,0.08225460915294719,1117.5475932750005,0.00014444444444444446,1,12,13,29,0,54,10,0,277.6182437802015,COVARIADO,15,0.08,SW2,1,0.3571569331546478,-0.018235600056543146
2026-01-26,C4,272826.7659018487,99188.57741184869,11723.10849,11,0.0776536712956595,1120.4791032750004,0.00014444444444444446,1,12,14,29,1,55,10,0,272.76907307805874,COVARIADO,15,0.08,SW2,1,0.3635588212321238,-0.01762139508209484
2026-01-27,C4,276379.7396687012,110927.70647870118,18162.69819,10,0.07838617268389225,1125.0209132750003,0.00014444444444444446,1,12,14,30,1,56,10,0,276.3212955216722,COVARIADO,15,0.08,SW2,1,0.4013597617961113,0.012938751810131568
2026-01-28,C4,274093.3410604867,129109.05106048666,0.0,10,0.0866250522837778,1125.0209132750003,0.00014444444444444446,1,12,14,30,1,56,10,0,274.03538040264755,COVARIADO,15,0.08,SW2,1,0.47104045125997784,-0.008307079261366347
2026-01-29,C4,274496.92014563986,129127.70014563984,0.0,10,0.08841082802358531,1125.0209132750003,0.00014444444444444446,0,12,14,30,1,56,10,0,274.4388741456717,COVARIADO,15,0.08,SW2,1,0.47041584319827173,0.001471331835429043
2026-01-30,C4,272767.7704707855,0.41645328551013727,89001.67401749999,11,0.08027891257902593,1179.550648275,0.00014444444444444446,0,12,14,30,1,56,10,1,272.71009012235885,COVARIADO,15,0.08,SW2,1,1.5267686676888429e-06,-0.00631926546219303
2026-02-02,C4,272023.26632829796,89014.94632829794,0.0,11,0.0929299921334349,1179.550648275,0.00014444444444444446,1,12,14,30,1,56,10,0,271.96574341510734,COVARIADO,15,0.08,SW2,1,0.32723284125582136,-0.002733174944767242
2026-02-03,C4,277701.5901702676,89027.80404276759,33287.1661275,9,0.09517187130183631,1187.874520775,0.00014444444444444446,1,12,14,32,2,58,10,0,277.6428665004879,COVARIADO,15,0.08,SW2,1,0.32058802395831376,0.020659519903145785
2026-02-04,C4,270006.2478881811,122332.63788818108,0.0,9,0.08226809628938336,1187.874520775,0.00014444444444444446,1,12,14,32,2,58,10,0,269.9491515001852,COVARIADO,15,0.08,SW2,1,0.4530733597647831,-0.028102021455424897
2026-02-05,C4,263609.11815809825,122350.30815809827,0.0,9,0.08306085977977525,1187.874520775,0.00014444444444444446,1,12,14,32,1,58,10,0,263.55337452769214,COVARIADO,15,0.08,SW2,1,0.4641353418007312,-0.023977706139055758
2026-02-06,C4,271427.9809803878,122367.98098038777,0.0,9,0.08371318210424962,1187.874520775,0.00014444444444444446,1,12,14,32,1,58,10,0,271.37058394814795,COVARIADO,15,0.08,SW2,1,0.45083038431925543,0.029229447843256397
2026-02-09,C4,275687.53635541827,122385.65635541828,0.0,9,0.08041422653006451,1187.874520775,0.00014444444444444446,1,12,14,32,1,58,10,0,275.6292385839241,COVARIADO,15,0.08,SW2,1,0.44392886952146376,0.015571268975552253
2026-02-10,C4,273329.84428355854,122403.33428355852,0.0,9,0.07822215702804645,1187.874520775,0.00014444444444444446,0,12,14,32,1,58,10,0,273.272045077199,COVARIADO,15,0.08,SW2,1,0.44782279302283046,-0.008588823044522279
2026-02-11,C4,274083.81476517726,122421.01476517727,0.0,9,0.083094727864586,1187.874520775,0.00014444444444444446,0,12,14,32,1,58,10,0,274.0258561217991,COVARIADO,15,0.08,SW2,1,0.4466553957958521,0.0027546662233500067
2026-02-12,C4,268968.45780064334,122438.69780064336,0.0,9,0.08904769055764987,1187.874520775,0.00014444444444444446,1,12,14,32,1,58,10,0,268.91158086707105,COVARIADO,15,0.08,SW2,1,0.4552158227095672,-0.018839837435827234
2026-02-13,C4,270900.78405100736,3.897313507334644,72874.82673750001,12,0.08095067010168165,1236.698833275,0.00014444444444444446,1,12,14,32,0,58,10,1,270.84349850152273,COVARIADO,15,0.08,SW2,1,1.4386497702423876e-05,0.007158527852005429
2026-02-17,C4,272538.7409778147,72889.25097781472,0.0,12,0.08095502283763763,1236.698833275,0.00014444444444444446,1,12,14,32,0,58,10,0,272.48110906069985,COVARIADO,15,0.08,SW2,1,0.26744546744548175,0.00602812939221153
2026-02-18,C4,276274.3894251782,72899.77942517819,0.0,12,0.07606206295025078,1236.698833275,0.00014444444444444446,0,12,14,32,0,58,10,0,276.2159675558499,COVARIADO,15,0.08,SW2,1,0.26386730806592273,0.01361376372259813
2026-02-19,C4,281588.5493933174,72910.30939331738,0.0,12,0.07719827403079725,1236.698833275,0.00014444444444444446,0,12,14,32,0,58,10,0,281.5290037746618,COVARIADO,15,0.08,SW2,1,0.25892497955049193,0.019052424344555615
2026-02-20,C4,286010.9108824519,72920.84088245197,0.0,12,0.07953874881839605,1236.698833275,0.00014444444444444446,0,12,14,32,0,58,10,0,285.9504300970385,COVARIADO,15,0.08,SW2,1,0.25495824847193266,0.015582999239442834
2026-02-23,C4,291438.14389280166,72931.37389280167,0.0,12,0.08004151305801728,1236.698833275,0.00014444444444444446,0,12,14,32,0,58,10,0,291.3765154472725,COVARIADO,15,0.08,SW2,1,0.25024649456876746,0.01879782390368874
2026-02-24,C4,297491.9184245862,72941.90842458619,0.0,12,0.0801599590546362,1236.698833275,0.00014444444444444446,0,12,14,32,0,58,10,0,297.42900982845975,COVARIADO,15,0.08,SW2,1,0.24518954602485066,0.020559275722842055
2026-02-25,C4,295672.7244780253,72952.4444780253,0.0,12,0.08353479355798898,1236.698833275,0.00014444444444444446,0,12,14,32,0,58,10,0,295.6102005744911,COVARIADO,15,0.08,SW2,1,0.24673376486388485,-0.006133877574035618
2026-02-26,C4,296274.8620533388,72962.9820533388,0.0,12,0.08550830071921219,1236.698833275,0.00014444444444444446,1,12,14,32,0,58,10,0,296.2122108198598,COVARIADO,15,0.08,SW2,1,0.24626787958879606,0.002034429387656626
2026-02-27,C4,293962.59115074645,72973.5211507465,0.0,12,0.08704495323650989,1236.698833275,0.00014444444444444446,1,12,14,32,0,58,10,0,293.90042887749576,COVARIADO,15,0.08,SW2,1,0.24824084202375626,-0.007835093211951888
2026-03-02,C4,301695.5360119031,1.9380944030518392,99203.52291749998,10,0.08048097204541345,1279.7442520250002,0.00014444444444444446,1,12,14,33,1,59,10,1,301.6317385053065,COVARIADO,15,0.08,SW2,1,6.4240075563311405e-06,0.025965831680878966
2026-03-03,C4,290742.22068960476,99219.79068960476,0.0,10,0.08730001421808464,1279.7442520250002,0.00014444444444444446,1,12,14,33,1,59,10,0,290.6807394062303,COVARIADO,15,0.08,SW2,1,0.3412637849923126,-0.03698131491073639
2026-03-04,C4,295034.4294371488,99234.12243714882,10209.447,10,0.08975630420666308,1282.2972520250003,0.00014444444444444446,1,12,15,33,2,60,10,0,294.9720405095331,COVARIADO,15,0.08,SW2,1,0.33634760060533436,0.014655024457031585
2026-03-05,C4,286904.7779527342,109459.3779527342,0.0,10,0.08796786229944861,1282.2972520250003,0.00014444444444444446,1,12,15,33,1,60,10,0,286.84410814732047,COVARIADO,15,0.08,SW2,1,0.3815181424785019,-0.027941682915906926
2026-03-06,C4,283637.52875177184,109475.18875177183,0.0,10,0.0931942966656343,1282.2972520250003,0.00014444444444444446,1,12,15,33,0,60,10,0,283.5775498493632,COVARIADO,15,0.08,SW2,1,0.3859686312793259,-0.011453260794868997
2026-03-09,C4,290435.1007845915,109491.00183459153,10721.518950000001,10,0.09809007218149376,1284.9783020250002,0.00014444444444444446,1,13,16,33,2,62,10,0,290.37368444577817,COVARIADO,15,0.08,SW2,1,0.37698956337856104,0.023683030341347385
2026-03-10,C4,294358.28481537156,120229.88481537154,0.0,10,0.09450931546720048,1284.9783020250002,0.00014444444444444446,0,13,16,33,1,62,10,0,294.29603886746827,COVARIADO,15,0.08,SW2,1,0.4084474296036293,0.013417535098239784
2026-03-11,C4,293322.47135428933,120247.25135428931,0.0,10,0.08930239772990702,1284.9783020250002,0.00014444444444444446,0,13,16,33,1,62,10,0,293.2604444428258,COVARIADO,15,0.08,SW2,1,0.4099489916306097,-0.003525092570469555
2026-03-12,C4,284377.72040170716,120264.62040170716,0.0,10,0.08454741097873877,1284.9783020250002,0.00014444444444444446,0,13,16,33,1,62,10,0,284.317584975996,COVARIADO,15,0.08,SW2,1,0.4229045096494317,-0.0309692327373008
2026-03-13,C4,283649.9119579874,120281.99195798741,0.0,10,0.09049394664998833,1284.9783020250002,0.00014444444444444446,1,13,16,33,1,62,10,0,283.58993043698626,COVARIADO,15,0.08,SW2,1,0.4240508700591555,-0.0025625825243009875
2026-03-16,C4,286846.6596699661,0.4291449660499489,79817.940525,11,0.08094844132651129,1335.0006520250001,0.00014444444444444446,1,13,16,33,0,62,10,1,286.786002154431,COVARIADO,15,0.08,SW2,1,1.4960779621547811e-06,0.011207012730385693
