date,arm,offset,split,is_holdout,cycle_id,equity,cash_free,cash_pending,holdings_value,n_tickers,raw_n_tickers,log_ret_equity,turnover_gross_pct,defensive_sells_today,defensive_sell_rate,cash_idle_gt5,cash_ratio,trade_cost_today,gross_sells_today,gross_buys_today,is_rebalance_day,had_scores,first_rebalance_expected_date,trigger_r1_today,trigger_leve_today,trigger_medio_today,trigger_grave_today
2021-12-22,A0_R1,6,TRAIN,0,17,97705.42200723755,14448.409507237568,0.0,83257.01249999998,19,22,0.015866142293415982,0.0,0,0.0,1,0.14787725399893673,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-12-23,A0_R1,6,TRAIN,0,17,98557.08950723757,14448.409507237568,0.0,84108.68000000001,19,22,0.008678915186681452,0.0,0,0.0,1,0.14659939309770856,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-12-27,A0_R1,6,TRAIN,0,17,100004.49200723757,14448.409507237568,0.0,85556.0825,19,22,0.014579135864361532,0.0,0,0.0,1,0.14447760512789667,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-12-28,A0_R1,6,TRAIN,0,17,99573.17450723758,14448.409507237568,0.0,85124.76500000001,18,22,-0.004322308994135116,0.0,0,0.0,1,0.14510343351750193,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-12-29,A0_R1,6,TRAIN,0,18,99803.00543473757,5104.255434737564,0.0,94698.75,20,22,0.002305501383056637,0.8690749303809084,1,0.05,1,0.05114330387650801,21.684072500000003,38706.909999999996,48029.37999999999,1,1,2021-04-14,1,0,0,0
2021-12-30,A0_R1,6,TRAIN,0,18,99902.02543473757,5104.255434737564,0.0,94797.77,20,22,0.0009916626304659485,0.0,0,0.0,1,0.051092612111973565,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-12-31,A0_R1,6,TRAIN,0,18,100440.54543473756,5104.255434737564,0.0,95336.29,20,22,0.005376004657042041,0.0,0,0.0,1,0.050818674994692406,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-01-03,A0_R1,6,TRAIN,0,18,100136.65543473755,5104.255434737564,0.0,95032.39999999998,20,22,-0.0030301572781496144,0.0,0,0.0,1,0.05097289711322724,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-01-04,A0_R1,6,TRAIN,0,18,100334.14543473755,5104.255434737564,0.0,95229.88999999998,20,22,0.001970262632068172,0.0,0,0.0,1,0.050872565990584255,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-01-05,A0_R1,6,TRAIN,0,18,97664.47043473755,5104.255434737564,0.0,92560.21499999998,20,22,-0.0269682370021568,0.0,0,0.0,1,0.05226317628116754,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-01-06,A0_R1,6,TRAIN,0,18,98456.50543473758,5104.255434737564,0.0,93352.25000000001,20,22,0.008077048387395978,0.0,0,0.0,1,0.051842744287942936,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-01-07,A0_R1,6,TRAIN,0,18,96400.75681973754,16695.816819737563,0.0,79704.93999999997,18,20,-0.02110082905434252,0.12027353708105014,2,0.1,1,0.17319176083811808,2.8986150000000004,11594.46,0.0,0,1,2021-04-14,2,0,0,0
2022-01-10,A0_R1,6,TRAIN,0,18,95669.61748473755,24851.117484737566,0.0,70818.49999999999,16,18,-0.007613281008817124,0.08526573236588265,2,0.1,1,0.2597597663511316,2.0393350000000003,8157.34,0.0,0,1,2021-04-14,2,0,0,0
2022-01-11,A0_R1,6,TRAIN,0,18,96027.51748473757,24851.117484737566,0.0,71176.40000000001,16,18,0.0037340194563048866,0.0,0,0.0,1,0.25879162698012426,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-01-12,A0_R1,6,TRAIN,0,19,95605.99739579021,4780.091606316504,0.0,90825.9057894737,21,24,-0.004399238505091079,1.131731886458391,1,0.05,0,0.04999782164844592,27.050088947368433,44078.19,64122.16578947367,1,1,2021-04-14,1,0,0,0
2022-01-13,A0_R1,6,TRAIN,0,19,95752.29423789546,4780.091606316504,0.0,90972.20263157896,21,24,0.0015290361275613728,0.0,0,0.0,0,0.0499214315893092,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-01-14,A0_R1,6,TRAIN,0,19,96274.97897473755,4780.091606316504,0.0,91494.88736842104,21,24,0.005443872830594343,0.0,0,0.0,0,0.049650404053277385,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-01-18,A0_R1,6,TRAIN,0,19,94171.34897473754,4780.091606316504,0.0,89391.25736842104,20,24,-0.022092477005648724,0.0,0,0.0,1,0.05075951081043571,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-01-19,A0_R1,6,TRAIN,0,19,93031.28792210598,4780.091606316504,0.0,88251.19631578948,20,24,-0.012180118464163333,0.0,0,0.0,1,0.05138154821976472,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-01-20,A0_R1,6,TRAIN,0,19,91142.53697263228,8799.726446316503,0.0,82342.81052631578,19,22,-0.020511244399726732,0.04411375998023067,2,0.1,1,0.09654906192658243,1.0051599999999998,4020.64,0.0,0,1,2021-04-14,2,0,0,0
2022-01-21,A0_R1,6,TRAIN,0,19,88837.59752105334,13305.879626316502,0.0,75531.71789473684,17,21,-0.025614665544953036,0.05073617618859891,1,0.05,1,0.14977757163191163,1.12682,4507.28,0.0,0,1,2021-04-14,1,0,0,0
2022-01-24,A0_R1,6,TRAIN,0,19,88067.38059329017,21163.2048038165,0.0,66904.17578947368,16,19,-0.008707745850509338,0.08924178222462992,2,0.1,1,0.24030696338695146,1.9648225000000004,7859.290000000001,0.0,0,1,2021-04-14,2,0,0,0
2022-01-25,A0_R1,6,TRAIN,0,19,87821.3137511849,21163.2048038165,0.0,66658.10894736841,16,19,-0.0027979854368097756,0.0,0,0.0,1,0.240980280297059,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-01-26,A0_R1,6,TRAIN,0,19,87396.09848802703,21163.2048038165,0.0,66232.89368421053,15,19,-0.004853582671560206,0.0,0,0.0,1,0.24215274102557094,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-01-27,A0_R1,6,TRAIN,0,20,85753.4286212836,5.044542336232297,0.0,85748.38407894738,19,23,-0.018974572771628093,0.6613759631447781,0,0.0,0,5.882612995581456e-05,14.178814111842103,17785.637500000004,38929.61894736842,1,1,2021-04-14,0,0,0,0
2022-01-28,A0_R1,6,TRAIN,0,20,86983.0997844415,5250.132942336232,0.0,81732.96684210526,18,22,0.014237775264933767,0.06031516481938959,1,0.05,1,0.060358080539172895,1.3115999999999999,5246.4,0.0,0,1,2021-04-14,1,0,0,0
2022-01-31,A0_R1,6,TRAIN,0,20,88163.74188970464,11357.026889704654,0.0,76806.715,17,21,0.01348194437300575,0.069284956850781,1,0.05,1,0.12881743272549182,1.5271052631578947,6108.421052631579,0.0,0,1,2021-04-14,1,0,0,0
2022-02-01,A0_R1,6,TRAIN,0,20,88296.68938970465,11357.026889704654,0.0,76939.6625,17,21,0.00150682534538891,0.0,0,0.0,1,0.12862347352095488,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-02-02,A0_R1,6,TRAIN,0,20,88452.77198970466,15985.469489704654,0.0,72467.3025,16,20,0.0017661455865707338,0.05233979552996774,1,0.05,1,0.18072321680959033,1.1574,4629.599999999999,0.0,0,1,2021-04-14,1,0,0,0
2022-02-03,A0_R1,6,TRAIN,0,20,87496.46698970466,15985.469489704654,0.0,71510.9975,16,20,-0.010870344450420356,0.0,0,0.0,1,0.18269845674552318,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-02-04,A0_R1,6,TRAIN,0,20,88218.31597970465,23937.520979704652,0.0,64280.795,14,18,0.008216190334646701,0.09016313575777044,2,0.1,1,0.27134411617210735,1.98851,7954.04,0.0,0,1,2021-04-14,2,0,0,0
2022-02-07,A0_R1,6,TRAIN,0,20,89019.41847970465,23937.520979704652,0.0,65081.89749999999,14,18,0.009039925475925347,0.0,0,0.0,1,0.2689022394047892,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-02-08,A0_R1,6,TRAIN,0,20,88684.98770470466,28939.37020470465,0.0,59745.61750000001,13,17,-0.0037639040809771874,0.05641428306512117,1,0.05,1,0.32631644829296674,1.250775,5003.099999999999,0.0,0,1,2021-04-14,1,0,0,0
2022-02-09,A0_R1,6,TRAIN,0,20,89633.27827470466,32676.15577470465,0.0,56957.122500000005,12,16,0.010636033323956295,0.04170013718057682,1,0.05,1,0.3645538398646986,0.9344300000000001,3737.7200000000003,0.0,0,1,2021-04-14,1,0,0,0
2022-02-10,A0_R1,6,TRAIN,0,21,89814.15586815859,4485.252183948086,0.0,85328.9036842105,19,22,0.0020159402732653825,1.0199909501870459,1,0.05,0,0.04993925668613028,22.90240654605263,31720.812500000004,59888.81368421053,1,1,2021-04-14,1,0,0,0
2022-02-11,A0_R1,6,TRAIN,0,21,89147.10083921126,8155.734333948086,0.0,80991.36650526317,18,21,-0.00745477686560335,0.041183616353625024,1,0.05,1,0.09148625426033816,0.9178499999999999,3671.3999999999996,0.0,0,1,2021-04-14,1,0,0,0
2022-02-14,A0_R1,6,TRAIN,0,21,88133.20486026388,8155.734333948086,0.0,79977.4705263158,18,21,-0.011438462153309502,0.0,0,0.0,1,0.09253872416053731,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-02-15,A0_R1,6,TRAIN,0,21,89262.13854447441,8155.734333948086,0.0,81106.40421052632,18,21,0.012728055916540235,0.0,0,0.0,1,0.0913683501979345,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-02-16,A0_R1,6,TRAIN,0,21,89880.78670236914,8155.734333948086,0.0,81725.05236842105,18,21,0.006906782574357223,0.0,0,0.0,1,0.09073946316196531,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-02-17,A0_R1,6,TRAIN,0,21,89373.81064973757,8155.734333948086,0.0,81218.07631578948,18,21,-0.0056565065765644814,0.0,0,0.0,1,0.0912541859260203,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-02-18,A0_R1,6,TRAIN,0,21,88248.21549394811,12190.085493948085,0.0,76058.13000000002,17,20,-0.012674218932894736,0.0457273835783879,1,0.05,1,0.13813407359816876,1.00884,4035.36,0.0,0,1,2021-04-14,1,0,0,0
2022-02-22,A0_R1,6,TRAIN,0,21,88103.98602026387,12190.085493948085,0.0,75913.90052631577,17,20,-0.0016356983876937743,0.0,0,0.0,1,0.1383602041699268,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2022-02-23,A0_R1,6,TRAIN,0,21,87599.73023079018,12190.085493948085,0.0,75409.64473684209,17,20,-0.005739857809100899,0.0,0,0.0,1,0.13915665564074337,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
